src,relation,dst,extra_json
contract:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,hasStateVar,statevar:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.balances,"{""_layers"": [""stage1_ast""]}"
contract:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,hasStateVar,statevar:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,hasStateVar,statevar:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Log,"{""_layers"": [""stage1_ast""]}"
contract:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,hasStateVar,statevar:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.intitalized,"{""_layers"": [""stage1_ast""]}"
contract:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,hasFunction,function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum,hasModifier,modifier:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum,containsStmt,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum,entryPointIs,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1,containsCall,call:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum,containsStmt,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1,hasNext,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.2,containsAssignment,assign:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,hasFunction,function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile,hasModifier,modifier:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile,containsStmt,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile,entryPointIs,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1,containsCall,call:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile,containsStmt,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1,hasNext,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.2,containsAssignment,assign:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.2,containsCall,call:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,hasFunction,function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Initialized,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Initialized,hasModifier,modifier:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Initialized.1,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Initialized,containsStmt,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Initialized.1,"{""_layers"": [""stage1_ast""]}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Initialized,entryPointIs,stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Initialized.1,"{""_layers"": [""stage1_ast""]}"
