node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,Contract,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,,9,69,"{""_layers"": [""stage1_ast""], ""ast_id"": 131, ""src"": ""102:1161:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""PERSONAL_BANK""}"
statevar:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.balances,StateVar,balances,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""131:42:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.MinSum,StateVar,MinSum,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 8, ""src"": ""186:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.Log,StateVar,Log,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""225:65:0"", ""type"": ""contract LogFile"", ""visibility"": ""internal""}"
statevar:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.intitalized,StateVar,intitalized,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""301:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum,Function,SetMinSum,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetMinSum,19,24,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 30, ""src"": ""328:108:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PERSONAL_BANK""}"
modifier:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1,Modifier,modifier_1,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetMinSum,19,24,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1,Stmt,stmt_1,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetMinSum,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""383:23:0"", ""stmt_kind"": ""IfStatement""}"
call:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.1.1,FunctionCall,revert,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetMinSum,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""398:8:0""}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.2,Stmt,stmt_2,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""416:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetMinSum.2.1,Assignment,assign_2_1,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""416:13:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile,Function,SetLogFile,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetLogFile,26,31,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 47, ""src"": ""446:118:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PERSONAL_BANK""}"
modifier:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1,Modifier,modifier_1,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetLogFile,26,31,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1,Stmt,stmt_1,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetLogFile,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""505:23:0"", ""stmt_kind"": ""IfStatement""}"
call:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.1.1,FunctionCall,revert,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetLogFile,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""520:8:0""}"
stmt:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.2,Stmt,stmt_2,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetLogFile,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 45, ""src"": ""538:19:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.SetLogFile.2.1,Assignment,assign_2_1,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f,SetLogFile,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""538:19:0"", ""operator"": ""="", ""type"": ""contract LogFile""}"
