node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,Contract,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,,10,70,"{""_layers"": [""stage1_ast""], ""ast_id"": 131, ""src"": ""103:1163:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""ACCURAL_DEPOSIT""}"
statevar:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.balances,StateVar,balances,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""134:42:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.MinSum,StateVar,MinSum,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 8, ""src"": ""189:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.Log,StateVar,Log,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""228:65:0"", ""type"": ""contract LogFile"", ""visibility"": ""internal""}"
statevar:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.intitalized,StateVar,intitalized,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""304:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.SetMinSum,Function,SetMinSum,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,SetMinSum,20,25,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 30, ""src"": ""331:108:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ACCURAL_DEPOSIT""}"
modifier:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.SetMinSum.1,Modifier,modifier_1,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,SetMinSum,20,25,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.SetMinSum.1,Stmt,stmt_1,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""386:23:0"", ""stmt_kind"": ""IfStatement""}"
call:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.SetMinSum.1.1,FunctionCall,revert,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""401:8:0""}"
stmt:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.SetMinSum.2,Stmt,stmt_2,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,SetMinSum,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""419:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.SetMinSum.2.1,Assignment,assign_2_1,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1,SetMinSum,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""419:13:0"", ""operator"": ""="", ""type"": ""uint256""}"
