node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Contract,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,,9,69,"{""_layers"": [""stage1_ast""], ""ast_id"": 127, ""src"": ""102:1096:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""PRIVATE_ETH_CELL""}"
statevar:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.balances,StateVar,balances,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""134:42:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.MinSum,StateVar,MinSum,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""189:18:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.Log,StateVar,Log,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 9, ""src"": ""218:11:0"", ""type"": ""contract LogFile"", ""visibility"": ""internal""}"
statevar:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.intitalized,StateVar,intitalized,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""240:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetMinSum,Function,SetMinSum,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetMinSum,19,24,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 26, ""src"": ""267:106:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PRIVATE_ETH_CELL""}"
modifier:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetMinSum.1,Modifier,modifier_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetMinSum,19,24,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetMinSum.1,Stmt,stmt_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetMinSum,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""322:21:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetMinSum.1.1,Require,require,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetMinSum,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""322:21:0""}"
stmt:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetMinSum.2,Stmt,stmt_2,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""353:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetMinSum.2.1,Assignment,assign_2_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 23, ""src"": ""353:13:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetLogFile,Function,SetLogFile,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetLogFile,26,31,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 43, ""src"": ""383:116:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PRIVATE_ETH_CELL""}"
modifier:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetLogFile.1,Modifier,modifier_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetLogFile,26,31,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetLogFile.1,Stmt,stmt_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetLogFile,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 35, ""src"": ""442:21:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetLogFile.1.1,Require,require,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetLogFile,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 34, ""src"": ""442:21:0""}"
stmt:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetLogFile.2,Stmt,stmt_2,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetLogFile,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 41, ""src"": ""473:19:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetLogFile.2.1,Assignment,assign_2_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetLogFile,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 40, ""src"": ""473:19:0"", ""operator"": ""="", ""type"": ""contract LogFile""}"
call:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.SetLogFile.2.1,FunctionCall,LogFile,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,SetLogFile,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""479:13:0""}"
function:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.Initialized,Function,Initialized,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Initialized,33,37,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 51, ""src"": ""509:73:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PRIVATE_ETH_CELL""}"
modifier:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.Initialized.1,Modifier,modifier_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Initialized,33,37,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.Initialized.1,Stmt,stmt_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Initialized,36,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 49, ""src"": ""557:18:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.Initialized.1.1,Assignment,assign_1_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Initialized,36,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 48, ""src"": ""557:18:0"", ""operator"": ""="", ""type"": ""bool""}"
function:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.Deposit,Function,Deposit,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Deposit,39,45,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 73, ""src"": ""592:147:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PRIVATE_ETH_CELL""}"
modifier:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.Deposit.1,Modifier,modifier_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Deposit,39,45,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x4e73b32ed6c35f570686b89848e5f39f20ecc106.Deposit.1,Stmt,stmt_1,0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,0x4e73b32ed6c35f570686b89848e5f39f20ecc106,Deposit,43,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 61, ""src"": ""648:32:0"", ""stmt_kind"": ""ExpressionStatement""}"
