node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x561eac93c92360949ab1f1403323e6db345cbf31,Contract,0x561eac93c92360949ab1f1403323e6db345cbf31,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,,9,69,"{""_layers"": [""stage1_ast""], ""ast_id"": 123, ""src"": ""102:1087:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""BANK_SAFE""}"
statevar:0x561eac93c92360949ab1f1403323e6db345cbf31.balances,StateVar,balances,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""127:42:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x561eac93c92360949ab1f1403323e6db345cbf31.MinSum,StateVar,MinSum,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""182:18:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x561eac93c92360949ab1f1403323e6db345cbf31.Log,StateVar,Log,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 9, ""src"": ""211:11:0"", ""type"": ""contract LogFile"", ""visibility"": ""internal""}"
statevar:0x561eac93c92360949ab1f1403323e6db345cbf31.intitalized,StateVar,intitalized,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""233:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:0x561eac93c92360949ab1f1403323e6db345cbf31.SetMinSum,Function,SetMinSum,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,SetMinSum,19,24,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 24, ""src"": ""260:105:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""BANK_SAFE""}"
modifier:0x561eac93c92360949ab1f1403323e6db345cbf31.SetMinSum.1,Modifier,modifier_1,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,SetMinSum,19,24,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x561eac93c92360949ab1f1403323e6db345cbf31.SetMinSum.1,Stmt,stmt_1,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,SetMinSum,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""315:20:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x561eac93c92360949ab1f1403323e6db345cbf31.SetMinSum.2,Stmt,stmt_2,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""345:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x561eac93c92360949ab1f1403323e6db345cbf31.SetMinSum.2.1,Assignment,assign_2_1,0x561eac93c92360949ab1f1403323e6db345cbf31.sol,0x561eac93c92360949ab1f1403323e6db345cbf31,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 21, ""src"": ""345:13:0"", ""operator"": ""="", ""type"": ""uint256""}"
