src,relation,dst,extra_json
contract:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,hasStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.MinDeposit,"{""_layers"": [""stage1_ast""]}"
contract:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,hasStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage1_ast""]}"
contract:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,hasFunction,function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank,hasModifier,modifier:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank,containsStmt,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank,entryPointIs,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1,containsAssignment,assign:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank,containsStmt,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1,hasNext,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.2,containsAssignment,assign:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,hasFunction,function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor,hasModifier,modifier:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor,containsStmt,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor,entryPointIs,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor.1,containsCall,call:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,hasFunction,function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit,hasModifier,modifier:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit,containsStmt,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit,entryPointIs,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.1,containsAssignment,assign:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,hasFunction,function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder,containsStmt,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder,entryPointIs,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1,containsAssignment,assign:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1,containsCall,call:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,hasFunction,function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder,containsStmt,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1,"{""_layers"": [""stage1_ast""]}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder,entryPointIs,stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1,containsAssignment,assign:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1,containsCall,call:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1,containsCall,call:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1.2,"{""_layers"": [""stage1_ast""]}"
statewrite:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2,targetsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""Holders"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2""}"
stateread:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2.1,targetsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""Holders"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2""}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1,readsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Holders"", ""index"": ""_to"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1""}"
stateread:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1.1,targetsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Holders"", ""index"": ""_to"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.1""}"
stateread:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.2.1,targetsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""Holders"", ""index"": ""_to"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WitdrawTokenToHolder.2""}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1,readsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Holders"", ""index"": ""_addr"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1""}"
stateread:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1.1,targetsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Holders"", ""index"": ""_addr"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.1""}"
statewrite:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3,targetsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""Holders"", ""index"": ""_addr"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3""}"
stateread:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3.1,targetsStateVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""Holders"", ""index"": ""_addr"", ""evidence_ref"": ""raw_ir:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3""}"
commit:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2,commitsVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""Holders"", ""pre_version"": ""Holders_1"", ""post_version"": ""Holders_2"", ""evidence_ref"": ""raw_ssa:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2""}"
statewrite:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2,preStateVersion,version:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders_1,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""Holders"", ""pre_version"": ""Holders_1"", ""post_version"": ""Holders_2"", ""evidence_ref"": ""raw_ssa:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2""}"
statewrite:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2,postStateVersion,version:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders_2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""Holders"", ""pre_version"": ""Holders_1"", ""post_version"": ""Holders_2"", ""evidence_ref"": ""raw_ssa:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2""}"
statewrite:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2,commitsState,commit:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""Holders"", ""pre_version"": ""Holders_1"", ""post_version"": ""Holders_2"", ""evidence_ref"": ""raw_ssa:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Deposit.2""}"
commit:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3,commitsVar,statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""Holders"", ""pre_version"": ""Holders_8"", ""post_version"": ""Holders_9"", ""evidence_ref"": ""raw_ssa:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3""}"
statewrite:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3,preStateVersion,version:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders_8,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""Holders"", ""pre_version"": ""Holders_8"", ""post_version"": ""Holders_9"", ""evidence_ref"": ""raw_ssa:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3""}"
statewrite:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3,postStateVersion,version:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders_9,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""Holders"", ""pre_version"": ""Holders_8"", ""post_version"": ""Holders_9"", ""evidence_ref"": ""raw_ssa:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3""}"
statewrite:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3,commitsState,commit:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""Holders"", ""pre_version"": ""Holders_8"", ""post_version"": ""Holders_9"", ""evidence_ref"": ""raw_ssa:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.WithdrawToHolder.3""}"
cfgentry:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner,entryOf,functionref:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner,"{""_layers"": [""stage4_control""], ""function"": ""changeOwner(address)""}"
cfgexit:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner,exitOf,functionref:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner,"{""_layers"": [""stage4_control""], ""function"": ""changeOwner(address)""}"
cfgnode:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner.1,inFunction,functionref:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner,"{""_layers"": [""stage4_control""], ""function"": ""changeOwner(address)""}"
cfgnode:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner.2,inFunction,functionref:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner,"{""_layers"": [""stage4_control""], ""function"": ""changeOwner(address)""}"
cfgnode:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner.2,nextBlock,cfgnode:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.changeOwner.1,"{""_layers"": [""stage4_control""], ""function"": ""changeOwner(address)"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839\\cfg__0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol-TokenBank-changeOwner(address).dot""}"
