node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,Contract,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,,47,100,"{""_layers"": [""stage1_ast""], ""ast_id"": 183, ""src"": ""740:1003:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""TokenBank""}"
statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.MinDeposit,StateVar,MinDeposit,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,,49,49,"{""_layers"": [""stage1_ast""], ""ast_id"": 78, ""src"": ""774:22:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.Holders,StateVar,Holders,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 82, ""src"": ""802:40:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank,Function,initTokenBank,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,initTokenBank,53,58,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 95, ""src"": ""873:105:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""TokenBank""}"
modifier:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1,Modifier,modifier_1,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,initTokenBank,53,58,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1,Stmt,stmt_1,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,initTokenBank,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 89, ""src"": ""923:18:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.1.1,Assignment,assign_1_1,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,initTokenBank,56,56,"{""_layers"": [""stage1_ast""], ""ast_id"": 88, ""src"": ""923:18:0"", ""operator"": ""="", ""type"": ""address""}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.2,Stmt,stmt_2,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,initTokenBank,57,57,"{""_layers"": [""stage1_ast""], ""ast_id"": 93, ""src"": ""951:20:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.initTokenBank.2.1,Assignment,assign_2_1,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,initTokenBank,57,57,"{""_layers"": [""stage1_ast""], ""ast_id"": 92, ""src"": ""951:20:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor,Function,constructor,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,constructor,60,64,"{""_layers"": [""stage1_ast""], ""ast_id"": 102, ""src"": ""988:53:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true}"
modifier:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor.1,Modifier,modifier_1,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,constructor,60,64,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.constructor.1,Stmt,stmt_1,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,constructor,63,63,"{""_layers"": [""stage1_ast""], ""ast_id"": 100, ""src"": ""1025:9:0"", ""stmt_kind"": ""ExpressionStatement""}"
