src,relation,dst,extra_json
contract:0x7541b76cb60f4c60af330c208b0623b7f54bf615,hasStateVar,statevar:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Acc,"{""_layers"": [""stage1_ast""]}"
contract:0x7541b76cb60f4c60af330c208b0623b7f54bf615,hasStateVar,statevar:0x7541b76cb60f4c60af330c208b0623b7f54bf615.LogFile,"{""_layers"": [""stage1_ast""]}"
contract:0x7541b76cb60f4c60af330c208b0623b7f54bf615,hasStateVar,statevar:0x7541b76cb60f4c60af330c208b0623b7f54bf615.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0x7541b76cb60f4c60af330c208b0623b7f54bf615,hasFunction,function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put,hasModifier,modifier:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put,containsStmt,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put,entryPointIs,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put,containsStmt,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.1,hasNext,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.2,containsAssignment,assign:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put,containsStmt,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.2,hasNext,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.3,containsAssignment,assign:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.3.1,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put,containsStmt,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.3,hasNext,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.4,containsCall,call:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.4.1,"{""_layers"": [""stage1_ast""]}"
contract:0x7541b76cb60f4c60af330c208b0623b7f54bf615,hasFunction,function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect,hasModifier,modifier:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect.1,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect,containsStmt,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect.1,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect,entryPointIs,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect.1,"{""_layers"": [""stage1_ast""]}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect,containsStmt,stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Collect.2,"{""_layers"": [""stage1_ast""]}"
