node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x7541b76cb60f4c60af330c208b0623b7f54bf615,Contract,0x7541b76cb60f4c60af330c208b0623b7f54bf615,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,,9,59,"{""_layers"": [""stage1_ast""], ""ast_id"": 128, ""src"": ""102:1007:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""U_BANK""}"
statevar:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Acc,StateVar,Acc,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 110, ""src"": ""935:38:0"", ""type"": ""mapping(address => struct U_BANK.Holder)"", ""visibility"": ""public""}"
statevar:0x7541b76cb60f4c60af330c208b0623b7f54bf615.LogFile,StateVar,LogFile,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,,52,52,"{""_layers"": [""stage1_ast""], ""ast_id"": 112, ""src"": ""980:11:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
statevar:0x7541b76cb60f4c60af330c208b0623b7f54bf615.MinSum,StateVar,MinSum,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,,54,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 115, ""src"": ""998:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put,Function,Put,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Put,11,19,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 41, ""src"": ""124:248:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""U_BANK""}"
modifier:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.1,Modifier,modifier_1,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Put,11,19,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.1,Stmt,stmt_1,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Put,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""192:25:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.2,Stmt,stmt_2,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Put,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""227:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.2.1,Assignment,assign_2_1,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Put,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 17, ""src"": ""227:24:0"", ""operator"": ""+="", ""type"": ""uint256""}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.3,Stmt,stmt_3,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Put,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""261:48:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.3.1,Assignment,assign_3_1,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Put,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""261:48:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0x7541b76cb60f4c60af330c208b0623b7f54bf615.Put.4,Stmt,stmt_4,0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,0x7541b76cb60f4c60af330c208b0623b7f54bf615,Put,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""319:46:0"", ""stmt_kind"": ""ExpressionStatement""}"
