src,relation,dst,extra_json
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasStateVar,statevar:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.balances,"{""_layers"": [""stage1_ast""]}"
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasStateVar,statevar:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.MinDeposit,"{""_layers"": [""stage1_ast""]}"
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasStateVar,statevar:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.owner,"{""_layers"": [""stage1_ast""]}"
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasStateVar,statevar:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.TransferLog,"{""_layers"": [""stage1_ast""]}"
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasFunction,function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit,hasModifier,modifier:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit,containsStmt,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit,entryPointIs,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.1,containsAssignment,assign:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit,containsStmt,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.1,hasNext,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.2,containsAssignment,assign:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.2,containsCall,call:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.PrivateDeposit.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasFunction,function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog,containsStmt,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog.1,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog,entryPointIs,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog.1,containsAssignment,assign:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog.1,containsCall,call:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.setLog.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasFunction,function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit,hasModifier,modifier:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit,containsStmt,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit,entryPointIs,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.1,containsAssignment,assign:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.1,containsCall,call:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasFunction,function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut,hasModifier,modifier:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut,containsStmt,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut,entryPointIs,stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1,containsAssignment,assign:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1,containsCall,call:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1,containsCall,call:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1,containsCall,call:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.CashOut.1.3,"{""_layers"": [""stage1_ast""]}"
contract:0x7a8721a9d64c74da899424c1b52acbf58ddc9782,hasFunction,function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.constructor,hasModifier,modifier:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.constructor.1,"{""_layers"": [""stage1_ast""]}"
statewrite:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.2,targetsStateVar,statevar:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x7a8721a9d64c74da899424c1b52acbf58ddc9782.Deposit.2""}"
