src,relation,dst,extra_json
contract:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,hasStateVar,statevar:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Acc,"{""_layers"": [""stage1_ast""]}"
contract:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,hasStateVar,statevar:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.LogFile,"{""_layers"": [""stage1_ast""]}"
contract:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,hasStateVar,statevar:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3,hasFunction,function:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put,"{""_layers"": [""stage1_ast""]}"
function:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put,hasModifier,modifier:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put,containsStmt,stmt:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put,entryPointIs,stmt:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put,containsStmt,stmt:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put.1,hasNext,stmt:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put.2,containsAssignment,assign:0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.Put.2.1,"{""_layers"": [""stage1_ast""]}"
