node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x8c7777c45481dba411450c228cb692ac3d550344,Contract,0x8c7777c45481dba411450c228cb692ac3d550344,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,,9,51,"{""_layers"": [""stage1_ast""], ""ast_id"": 94, ""src"": ""103:866:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""ETH_VAULT""}"
statevar:0x8c7777c45481dba411450c228cb692ac3d550344.balances,StateVar,balances,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""128:41:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x8c7777c45481dba411450c228cb692ac3d550344.TransferLog,StateVar,TransferLog,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""180:15:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
statevar:0x8c7777c45481dba411450c228cb692ac3d550344.MinDeposit,StateVar,MinDeposit,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""206:32:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT,Function,ETH_VAULT,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,ETH_VAULT,17,21,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 22, ""src"": ""249:89:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ETH_VAULT""}"
modifier:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1,Modifier,modifier_1,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,ETH_VAULT,17,21,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1,Stmt,stmt_1,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,ETH_VAULT,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""308:23:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1.1,Assignment,assign_1_1,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,ETH_VAULT,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""308:23:0"", ""operator"": ""="", ""type"": ""contract Log""}"
call:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1.1,FunctionCall,Log,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,ETH_VAULT,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""322:9:0""}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit,Function,Deposit,0x8c7777c45481dba411450c228cb692ac3d550344.sol,0x8c7777c45481dba411450c228cb692ac3d550344,Deposit,23,32,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 50, ""src"": ""348:221:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ETH_VAULT""}"
