src,relation,dst,extra_json
contract:0x8c7777c45481dba411450c228cb692ac3d550344,hasStateVar,statevar:0x8c7777c45481dba411450c228cb692ac3d550344.balances,"{""_layers"": [""stage1_ast""]}"
contract:0x8c7777c45481dba411450c228cb692ac3d550344,hasStateVar,statevar:0x8c7777c45481dba411450c228cb692ac3d550344.TransferLog,"{""_layers"": [""stage1_ast""]}"
contract:0x8c7777c45481dba411450c228cb692ac3d550344,hasStateVar,statevar:0x8c7777c45481dba411450c228cb692ac3d550344.MinDeposit,"{""_layers"": [""stage1_ast""]}"
contract:0x8c7777c45481dba411450c228cb692ac3d550344,hasFunction,function:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT,hasModifier,modifier:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT,containsStmt,stmt:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT,entryPointIs,stmt:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1,containsAssignment,assign:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1,containsCall,call:0x8c7777c45481dba411450c228cb692ac3d550344.ETH_VAULT.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x8c7777c45481dba411450c228cb692ac3d550344,hasFunction,function:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit,hasModifier,modifier:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit,containsStmt,stmt:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit,entryPointIs,stmt:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.1,containsAssignment,assign:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.1,containsCall,call:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x8c7777c45481dba411450c228cb692ac3d550344,hasFunction,function:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut,hasModifier,modifier:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut,containsStmt,stmt:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut,entryPointIs,stmt:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1,containsAssignment,assign:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1,containsCall,call:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1,containsCall,call:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1,containsCall,call:0x8c7777c45481dba411450c228cb692ac3d550344.CashOut.1.3,"{""_layers"": [""stage1_ast""]}"
contract:0x8c7777c45481dba411450c228cb692ac3d550344,hasFunction,function:0x8c7777c45481dba411450c228cb692ac3d550344.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x8c7777c45481dba411450c228cb692ac3d550344.constructor,hasModifier,modifier:0x8c7777c45481dba411450c228cb692ac3d550344.constructor.1,"{""_layers"": [""stage1_ast""]}"
statewrite:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.2,targetsStateVar,statevar:0x8c7777c45481dba411450c228cb692ac3d550344.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x8c7777c45481dba411450c228cb692ac3d550344.Deposit.2""}"
