node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x93c32845fae42c83a70e5f06214c8433665c2ab5,Contract,0x93c32845fae42c83a70e5f06214c8433665c2ab5,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,,9,59,"{""_layers"": [""stage1_ast""], ""ast_id"": 128, ""src"": ""102:1011:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""X_WALLET""}"
statevar:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Acc,StateVar,Acc,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 110, ""src"": ""937:38:0"", ""type"": ""mapping(address => struct X_WALLET.Holder)"", ""visibility"": ""public""}"
statevar:0x93c32845fae42c83a70e5f06214c8433665c2ab5.LogFile,StateVar,LogFile,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,,52,52,"{""_layers"": [""stage1_ast""], ""ast_id"": 112, ""src"": ""982:11:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
statevar:0x93c32845fae42c83a70e5f06214c8433665c2ab5.MinSum,StateVar,MinSum,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,,54,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 115, ""src"": ""1000:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put,Function,Put,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Put,11,19,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 41, ""src"": ""126:248:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""X_WALLET""}"
modifier:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.1,Modifier,modifier_1,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Put,11,19,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.1,Stmt,stmt_1,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Put,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""194:25:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.2,Stmt,stmt_2,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Put,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""229:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.2.1,Assignment,assign_2_1,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Put,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 17, ""src"": ""229:24:0"", ""operator"": ""+="", ""type"": ""uint256""}"
stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.3,Stmt,stmt_3,0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,0x93c32845fae42c83a70e5f06214c8433665c2ab5,Put,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""263:48:0"", ""stmt_kind"": ""ExpressionStatement""}"
