src,relation,dst,extra_json
contract:0x93c32845fae42c83a70e5f06214c8433665c2ab5,hasStateVar,statevar:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Acc,"{""_layers"": [""stage1_ast""]}"
contract:0x93c32845fae42c83a70e5f06214c8433665c2ab5,hasStateVar,statevar:0x93c32845fae42c83a70e5f06214c8433665c2ab5.LogFile,"{""_layers"": [""stage1_ast""]}"
contract:0x93c32845fae42c83a70e5f06214c8433665c2ab5,hasStateVar,statevar:0x93c32845fae42c83a70e5f06214c8433665c2ab5.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0x93c32845fae42c83a70e5f06214c8433665c2ab5,hasFunction,function:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put,"{""_layers"": [""stage1_ast""]}"
function:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put,hasModifier,modifier:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put,containsStmt,stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put,entryPointIs,stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put,containsStmt,stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.1,hasNext,stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.2,containsAssignment,assign:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put,containsStmt,stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.2,hasNext,stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.3,containsAssignment,assign:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.3.1,"{""_layers"": [""stage1_ast""]}"
function:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put,containsStmt,stmt:0x93c32845fae42c83a70e5f06214c8433665c2ab5.Put.4,"{""_layers"": [""stage1_ast""]}"
