src,relation,dst,extra_json
contract:0x941d225236464a25eb18076df7da6a91d0f95e9e,hasStateVar,statevar:0x941d225236464a25eb18076df7da6a91d0f95e9e.balances,"{""_layers"": [""stage1_ast""]}"
contract:0x941d225236464a25eb18076df7da6a91d0f95e9e,hasStateVar,statevar:0x941d225236464a25eb18076df7da6a91d0f95e9e.MinDeposit,"{""_layers"": [""stage1_ast""]}"
contract:0x941d225236464a25eb18076df7da6a91d0f95e9e,hasStateVar,statevar:0x941d225236464a25eb18076df7da6a91d0f95e9e.TransferLog,"{""_layers"": [""stage1_ast""]}"
contract:0x941d225236464a25eb18076df7da6a91d0f95e9e,hasStateVar,statevar:0x941d225236464a25eb18076df7da6a91d0f95e9e.lastBlock,"{""_layers"": [""stage1_ast""]}"
contract:0x941d225236464a25eb18076df7da6a91d0f95e9e,hasFunction,function:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND,"{""_layers"": [""stage1_ast""]}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND,hasModifier,modifier:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1,"{""_layers"": [""stage1_ast""]}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND,containsStmt,stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1,"{""_layers"": [""stage1_ast""]}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND,entryPointIs,stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1,containsAssignment,assign:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1,containsCall,call:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x941d225236464a25eb18076df7da6a91d0f95e9e,hasFunction,function:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit,"{""_layers"": [""stage1_ast""]}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit,hasModifier,modifier:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit,containsStmt,stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit,entryPointIs,stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1,containsAssignment,assign:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1,containsAssignment,assign:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1,containsCall,call:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x941d225236464a25eb18076df7da6a91d0f95e9e,hasFunction,function:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut,"{""_layers"": [""stage1_ast""]}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut,hasModifier,modifier:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut,containsStmt,stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1,"{""_layers"": [""stage1_ast""]}"
