node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x941d225236464a25eb18076df7da6a91d0f95e9e,Contract,0x941d225236464a25eb18076df7da6a91d0f95e9e,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,,9,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 106, ""src"": ""102:951:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""ETH_FUND""}"
statevar:0x941d225236464a25eb18076df7da6a91d0f95e9e.balances,StateVar,balances,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""126:41:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0x941d225236464a25eb18076df7da6a91d0f95e9e.MinDeposit,StateVar,MinDeposit,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 8, ""src"": ""178:32:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x941d225236464a25eb18076df7da6a91d0f95e9e.TransferLog,StateVar,TransferLog,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""221:15:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
statevar:0x941d225236464a25eb18076df7da6a91d0f95e9e.lastBlock,StateVar,lastBlock,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""247:14:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND,Function,ETH_FUND,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,ETH_FUND,19,23,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 24, ""src"": ""272:88:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ETH_FUND""}"
modifier:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1,Modifier,modifier_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,ETH_FUND,19,23,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1,Stmt,stmt_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,ETH_FUND,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""330:23:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1.1,Assignment,assign_1_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,ETH_FUND,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 21, ""src"": ""330:23:0"", ""operator"": ""="", ""type"": ""contract Log""}"
call:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1.1,FunctionCall,Log,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,ETH_FUND,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""344:9:0""}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit,Function,Deposit,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,Deposit,25,35,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 57, ""src"": ""370:259:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ETH_FUND""}"
modifier:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1,Modifier,modifier_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,Deposit,25,35,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1,Stmt,stmt_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,Deposit,29,34,"{""_layers"": [""stage1_ast""], ""ast_id"": 55, ""src"": ""426:197:0"", ""stmt_kind"": ""IfStatement""}"
assign:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1.1,Assignment,assign_1_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,Deposit,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""475:31:0"", ""operator"": ""+="", ""type"": ""uint256""}"
assign:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1.2,Assignment,assign_1_2,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,Deposit,33,33,"{""_layers"": [""stage1_ast""], ""ast_id"": 52, ""src"": ""588:24:0"", ""operator"": ""="", ""type"": ""uint256""}"
call:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.1.1,FunctionCall,AddMessage,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,Deposit,32,32,"{""_layers"": [""stage1_ast""], ""ast_id"": 47, ""src"": ""520:54:0""}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut,Function,CashOut,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,CashOut,37,50,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 101, ""src"": ""639:366:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ETH_FUND""}"
modifier:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1,Modifier,modifier_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,CashOut,37,50,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1,Stmt,stmt_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,CashOut,41,49,"{""_layers"": [""stage1_ast""], ""ast_id"": 99, ""src"": ""703:296:0"", ""stmt_kind"": ""IfStatement""}"
assign:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1.1,Assignment,assign_1_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,CashOut,46,46,"{""_layers"": [""stage1_ast""], ""ast_id"": 85, ""src"": ""883:25:0"", ""operator"": ""-="", ""type"": ""uint256""}"
call:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1.1,FunctionCall,call,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,CashOut,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 79, ""src"": ""823:28:0""}"
call:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1.2,FunctionCall,value,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,CashOut,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 78, ""src"": ""823:26:0""}"
call:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1.3,FunctionCall,AddMessage,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,CashOut,47,47,"{""_layers"": [""stage1_ast""], ""ast_id"": 94, ""src"": ""926:48:0""}"
function:0x941d225236464a25eb18076df7da6a91d0f95e9e.constructor,Function,constructor,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,constructor,52,52,"{""_layers"": [""stage1_ast""], ""ast_id"": 105, ""src"": ""1015:27:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true}"
modifier:0x941d225236464a25eb18076df7da6a91d0f95e9e.constructor.1,Modifier,modifier_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,0x941d225236464a25eb18076df7da6a91d0f95e9e,constructor,52,52,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
statewrite:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.2,StateWrite,balances,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,Deposit,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.2""}"
stateread:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.2.1,StateRead,balances,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,Deposit,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.2""}"
externalcall:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.3,ExternalCall,high_level_call,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,Deposit,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""call_kind"": ""HIGH_LEVEL_CALL"", ""dest"": ""TransferLog(Log)"", ""function"": ""AddMessage"", ""value"": """", ""evidence_ref"": ""raw_ir:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.3""}"
stateread:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1.1,StateRead,balances,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,CashOut,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.1""}"
externalcall:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.2,ExternalCall,low_level_call,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,CashOut,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""_am"", ""evidence_ref"": ""raw_ir:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.2""}"
statewrite:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.3,StateWrite,balances,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,CashOut,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.3""}"
stateread:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.3.1,StateRead,balances,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,CashOut,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.3""}"
externalcall:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.4,ExternalCall,high_level_call,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,CashOut,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""call_kind"": ""HIGH_LEVEL_CALL"", ""dest"": ""TransferLog(Log)"", ""function"": ""AddMessage"", ""value"": """", ""evidence_ref"": ""raw_ir:0x941d225236464a25eb18076df7da6a91d0f95e9e.CashOut.4""}"
version:0x941d225236464a25eb18076df7da6a91d0f95e9e.TransferLog_1,VersionedState,TransferLog_1,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,ETH_FUND,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""TransferLog_1"", ""base_state_var"": ""TransferLog"", ""ssa_stmt_index"": 1, ""evidence_ref"": ""raw_ssa:0x941d225236464a25eb18076df7da6a91d0f95e9e.ETH_FUND.1""}"
version:0x941d225236464a25eb18076df7da6a91d0f95e9e.MinDeposit_0,VersionedState,MinDeposit_0,0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,ETH_FUND,Deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""MinDeposit_0"", ""base_state_var"": ""MinDeposit"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:0x941d225236464a25eb18076df7da6a91d0f95e9e.Deposit.0""}"
