src,relation,dst,extra_json
contract:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,hasStateVar,statevar:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.Acc,"{""_layers"": [""stage1_ast""]}"
contract:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,hasStateVar,statevar:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,hasStateVar,statevar:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.Log,"{""_layers"": [""stage1_ast""]}"
contract:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,hasStateVar,statevar:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.intitalized,"{""_layers"": [""stage1_ast""]}"
contract:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,hasFunction,function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum,"{""_layers"": [""stage1_ast""]}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum,hasModifier,modifier:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum,containsStmt,stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum,entryPointIs,stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum,containsStmt,stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.1,hasNext,stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.2,containsAssignment,assign:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,hasFunction,function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile,"{""_layers"": [""stage1_ast""]}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile,hasModifier,modifier:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile.1,"{""_layers"": [""stage1_ast""]}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile,containsStmt,stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile.1,"{""_layers"": [""stage1_ast""]}"
