node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Contract,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,,9,78,"{""_layers"": [""stage1_ast""], ""ast_id"": 157, ""src"": ""102:1308:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""PENNY_BY_PENNY""}"
statevar:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.Acc,StateVar,Acc,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""219:38:0"", ""type"": ""mapping(address => struct PENNY_BY_PENNY.Holder)"", ""visibility"": ""public""}"
statevar:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.MinSum,StateVar,MinSum,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""268:18:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.Log,StateVar,Log,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""297:11:0"", ""type"": ""contract LogFile"", ""visibility"": ""internal""}"
statevar:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.intitalized,StateVar,intitalized,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""319:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum,Function,SetMinSum,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetMinSum,25,30,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 29, ""src"": ""346:105:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PENNY_BY_PENNY""}"
modifier:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.1,Modifier,modifier_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetMinSum,25,30,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.1,Stmt,stmt_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetMinSum,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 23, ""src"": ""401:20:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.2,Stmt,stmt_2,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetMinSum,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""431:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetMinSum.2.1,Assignment,assign_2_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetMinSum,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""431:13:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile,Function,SetLogFile,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetLogFile,32,37,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 44, ""src"": ""461:115:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PENNY_BY_PENNY""}"
modifier:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile.1,Modifier,modifier_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetLogFile,32,37,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile.1,Stmt,stmt_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetLogFile,35,35,"{""_layers"": [""stage1_ast""], ""ast_id"": 36, ""src"": ""520:20:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile.2,Stmt,stmt_2,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetLogFile,36,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""550:19:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile.2.1,Assignment,assign_2_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetLogFile,36,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 41, ""src"": ""550:19:0"", ""operator"": ""="", ""type"": ""contract LogFile""}"
call:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.SetLogFile.2.1,FunctionCall,LogFile,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,SetLogFile,36,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 40, ""src"": ""556:13:0""}"
function:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.Initialized,Function,Initialized,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Initialized,39,43,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 52, ""src"": ""586:73:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PENNY_BY_PENNY""}"
modifier:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.Initialized.1,Modifier,modifier_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Initialized,39,43,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.Initialized.1,Stmt,stmt_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Initialized,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 50, ""src"": ""634:18:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.Initialized.1.1,Assignment,assign_1_1,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b,Initialized,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 49, ""src"": ""634:18:0"", ""operator"": ""="", ""type"": ""bool""}"
