node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,Contract,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,,9,69,"{""_layers"": [""stage1_ast""], ""ast_id"": 123, ""src"": ""102:1087:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""DEP_BANK""}"
statevar:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.balances,StateVar,balances,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""127:42:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.MinSum,StateVar,MinSum,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""182:18:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.Log,StateVar,Log,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 9, ""src"": ""211:11:0"", ""type"": ""contract LogFile"", ""visibility"": ""internal""}"
statevar:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.intitalized,StateVar,intitalized,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""233:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.SetMinSum,Function,SetMinSum,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,SetMinSum,19,24,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 24, ""src"": ""260:105:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""DEP_BANK""}"
modifier:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.SetMinSum.1,Modifier,modifier_1,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,SetMinSum,19,24,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.SetMinSum.1,Stmt,stmt_1,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,SetMinSum,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""315:20:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.SetMinSum.2,Stmt,stmt_2,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""345:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.SetMinSum.2.1,Assignment,assign_2_1,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,SetMinSum,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 21, ""src"": ""345:13:0"", ""operator"": ""="", ""type"": ""uint256""}"
function:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.SetLogFile,Function,SetLogFile,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,SetLogFile,26,31,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 39, ""src"": ""375:115:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""DEP_BANK""}"
modifier:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.SetLogFile.1,Modifier,modifier_1,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,SetLogFile,26,31,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.SetLogFile.1,Stmt,stmt_1,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8.sol,0xaae1f51cf3339f18b6d3f3bdc75a5facd744b0b8,SetLogFile,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 31, ""src"": ""434:20:0"", ""stmt_kind"": ""IfStatement""}"
