src,relation,dst,extra_json
contract:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,hasStateVar,statevar:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.balances,"{""_layers"": [""stage1_ast""]}"
contract:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,hasStateVar,statevar:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.MinDeposit,"{""_layers"": [""stage1_ast""]}"
contract:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,hasStateVar,statevar:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.TransferLog,"{""_layers"": [""stage1_ast""]}"
contract:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,hasFunction,function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank,hasModifier,modifier:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank,containsStmt,stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank,entryPointIs,stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1,containsAssignment,assign:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1,containsCall,call:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,hasFunction,function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit,hasModifier,modifier:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit,containsStmt,stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit,entryPointIs,stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit.1,containsAssignment,assign:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit.1,containsCall,call:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,hasFunction,function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut,hasModifier,modifier:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut,containsStmt,stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut,entryPointIs,stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut.1,containsAssignment,assign:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
