node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Contract,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,,9,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 94, ""src"": ""102:860:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Private_Bank""}"
statevar:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.balances,StateVar,balances,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""130:41:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.MinDeposit,StateVar,MinDeposit,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 8, ""src"": ""182:32:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.TransferLog,StateVar,TransferLog,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""225:15:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank,Function,Private_Bank,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Private_Bank,17,20,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 22, ""src"": ""251:80:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Private_Bank""}"
modifier:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1,Modifier,modifier_1,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Private_Bank,17,20,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1,Stmt,stmt_1,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Private_Bank,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""301:23:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1.1,Assignment,assign_1_1,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Private_Bank,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""301:23:0"", ""operator"": ""="", ""type"": ""contract Log""}"
call:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Private_Bank.1.1,FunctionCall,Log,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Private_Bank,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""315:9:0""}"
function:0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.Deposit,Function,Deposit,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12.sol,0xb5e1b1ee15c6fa0e48fce100125569d430f1bd12,Deposit,22,31,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 50, ""src"": ""341:221:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Private_Bank""}"
