src,relation,dst,extra_json
contract:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,hasStateVar,statevar:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.balances,"{""_layers"": [""stage1_ast""]}"
contract:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,hasStateVar,statevar:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.MinDeposit,"{""_layers"": [""stage1_ast""]}"
contract:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,hasStateVar,statevar:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.TransferLog,"{""_layers"": [""stage1_ast""]}"
contract:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,hasFunction,function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank,hasModifier,modifier:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank,containsStmt,stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank,entryPointIs,stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1,containsAssignment,assign:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1,containsCall,call:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,hasFunction,function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit,hasModifier,modifier:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit,containsStmt,stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit,entryPointIs,stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1,containsAssignment,assign:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1,containsCall,call:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,hasFunction,function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.CashOut,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.CashOut,hasModifier,modifier:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.CashOut,containsStmt,stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.CashOut,entryPointIs,stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.CashOut.1,"{""_layers"": [""stage1_ast""]}"
