node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,Contract,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,,9,48,"{""_layers"": [""stage1_ast""], ""ast_id"": 94, ""src"": ""102:852:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""PrivateBank""}"
statevar:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.balances,StateVar,balances,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""129:41:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.MinDeposit,StateVar,MinDeposit,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 8, ""src"": ""185:32:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.TransferLog,StateVar,TransferLog,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""228:15:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank,Function,PrivateBank,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,PrivateBank,17,20,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 22, ""src"": ""254:79:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PrivateBank""}"
modifier:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1,Modifier,modifier_1,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,PrivateBank,17,20,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1,Stmt,stmt_1,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,PrivateBank,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""303:23:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1.1,Assignment,assign_1_1,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,PrivateBank,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""303:23:0"", ""operator"": ""="", ""type"": ""contract Log""}"
call:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.PrivateBank.1.1,FunctionCall,Log,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,PrivateBank,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""317:9:0""}"
function:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit,Function,Deposit,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,Deposit,22,31,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 50, ""src"": ""343:222:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""PrivateBank""}"
modifier:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1,Modifier,modifier_1,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,Deposit,22,31,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.Deposit.1,Stmt,stmt_1,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e.sol,0xb93430ce38ac4a6bb47fb1fc085ea669353fd89e,Deposit,26,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 48, ""src"": ""399:160:0"", ""stmt_kind"": ""IfStatement""}"
