src,relation,dst,extra_json
contract:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,hasStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage1_ast""]}"
contract:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,hasStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.MinDeposit,"{""_layers"": [""stage1_ast""]}"
contract:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,hasStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.TransferLog,"{""_layers"": [""stage1_ast""]}"
contract:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,hasFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,hasModifier,modifier:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,containsStmt,stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,entryPointIs,stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1,containsAssignment,assign:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1,containsCall,call:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,hasFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,hasModifier,modifier:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,containsStmt,stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,entryPointIs,stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1,containsAssignment,assign:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1,containsCall,call:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,hasFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,hasModifier,modifier:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,containsStmt,stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,entryPointIs,stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1,containsAssignment,assign:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1,containsCall,call:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1,containsCall,call:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1,containsCall,call:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1.3,"{""_layers"": [""stage1_ast""]}"
contract:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,hasFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.constructor,"{""_layers"": [""stage1_ast""]}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.constructor,hasModifier,modifier:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.constructor.1,"{""_layers"": [""stage1_ast""]}"
statewrite:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2,targetsStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2""}"
stateread:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2.1,targetsStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2""}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1,readsStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1""}"
stateread:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1.1,targetsStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.1""}"
statewrite:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3,targetsStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3""}"
stateread:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3.1,targetsStateVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3""}"
commit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2,commitsVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2""}"
statewrite:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2,preStateVersion,version:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances_1,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2""}"
statewrite:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2,postStateVersion,version:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances_2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2""}"
statewrite:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2,commitsState,commit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.2""}"
commit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3,commitsVar,statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""balances"", ""pre_version"": ""balances_4"", ""post_version"": ""balances_5"", ""evidence_ref"": ""raw_ssa:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3""}"
statewrite:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3,preStateVersion,version:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances_4,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""balances"", ""pre_version"": ""balances_4"", ""post_version"": ""balances_5"", ""evidence_ref"": ""raw_ssa:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3""}"
statewrite:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3,postStateVersion,version:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances_5,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""balances"", ""pre_version"": ""balances_4"", ""post_version"": ""balances_5"", ""evidence_ref"": ""raw_ssa:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3""}"
statewrite:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3,commitsState,commit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""balances"", ""pre_version"": ""balances_4"", ""post_version"": ""balances_5"", ""evidence_ref"": ""raw_ssa:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.3""}"
cfgentry:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,entryOf,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)""}"
cfgexit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,exitOf,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.2,inFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.4,inFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.5,inFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.6,inFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.2,branchTo,cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.5,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)"", ""dot_edge_attrs"": {""label"": ""False""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f\\cfg__0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol-ETH_VAULT-CashOut(uint256).dot""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.4,nextBlock,cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.5,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f\\cfg__0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol-ETH_VAULT-CashOut(uint256).dot""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.5,nextBlock,cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.6,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f\\cfg__0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol-ETH_VAULT-CashOut(uint256).dot""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut.6,flowsToExit,cfgexit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.CashOut,"{""_layers"": [""stage4_control""], ""function"": ""CashOut(uint256)""}"
cfgentry:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,entryOf,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,"{""_layers"": [""stage4_control""], ""function"": ""Deposit()""}"
cfgexit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,exitOf,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,"{""_layers"": [""stage4_control""], ""function"": ""Deposit()""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1,inFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,"{""_layers"": [""stage4_control""], ""function"": ""Deposit()""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.3,inFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,"{""_layers"": [""stage4_control""], ""function"": ""Deposit()""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.4,inFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,"{""_layers"": [""stage4_control""], ""function"": ""Deposit()""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.1,branchTo,cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.4,"{""_layers"": [""stage4_control""], ""function"": ""Deposit()"", ""dot_edge_attrs"": {""label"": ""False""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f\\cfg__0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol-ETH_VAULT-Deposit().dot""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.3,nextBlock,cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.4,"{""_layers"": [""stage4_control""], ""function"": ""Deposit()"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f\\cfg__0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol-ETH_VAULT-Deposit().dot""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit.4,flowsToExit,cfgexit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,"{""_layers"": [""stage4_control""], ""function"": ""Deposit()""}"
cfgentry:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,entryOf,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,"{""_layers"": [""stage4_control""], ""function"": ""ETH_VAULT(address)""}"
cfgexit:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,exitOf,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,"{""_layers"": [""stage4_control""], ""function"": ""ETH_VAULT(address)""}"
cfgnode:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1,inFunction,function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,"{""_layers"": [""stage4_control""], ""function"": ""ETH_VAULT(address)""}"
