node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,Contract,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,,9,51,"{""_layers"": [""stage1_ast""], ""ast_id"": 94, ""src"": ""102:866:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""ETH_VAULT""}"
statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.balances,StateVar,balances,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""127:41:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.MinDeposit,StateVar,MinDeposit,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 8, ""src"": ""179:32:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.TransferLog,StateVar,TransferLog,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""222:15:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT,Function,ETH_VAULT,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,ETH_VAULT,17,21,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 22, ""src"": ""248:89:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ETH_VAULT""}"
modifier:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1,Modifier,modifier_1,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,ETH_VAULT,17,21,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1,Stmt,stmt_1,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,ETH_VAULT,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 20, ""src"": ""307:23:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1.1,Assignment,assign_1_1,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,ETH_VAULT,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""307:23:0"", ""operator"": ""="", ""type"": ""contract Log""}"
call:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.ETH_VAULT.1.1,FunctionCall,Log,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,ETH_VAULT,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""321:9:0""}"
function:0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.Deposit,Function,Deposit,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f.sol,0xbaf51e761510c1a11bf48dd87c0307ac8a8c8a4f,Deposit,23,32,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 50, ""src"": ""347:221:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ETH_VAULT""}"
