node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,Contract,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,,9,78,"{""_layers"": [""stage1_ast""], ""ast_id"": 157, ""src"": ""102:1312:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""MONEY_BOX""}"
statevar:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.Acc,StateVar,Acc,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""215:38:0"", ""type"": ""mapping(address => struct MONEY_BOX.Holder)"", ""visibility"": ""public""}"
statevar:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.MinSum,StateVar,MinSum,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""264:18:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.LogFile,StateVar,LogFile,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""293:11:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
statevar:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.intitalized,StateVar,intitalized,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""315:16:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum,Function,SetMinSum,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,SetMinSum,25,30,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 29, ""src"": ""342:105:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MONEY_BOX""}"
modifier:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.1,Modifier,modifier_1,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,SetMinSum,25,30,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.1,Stmt,stmt_1,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,SetMinSum,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 23, ""src"": ""397:20:0"", ""stmt_kind"": ""IfStatement""}"
stmt:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.2,Stmt,stmt_2,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,SetMinSum,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""427:13:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.2.1,Assignment,assign_2_1,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,SetMinSum,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""427:13:0"", ""operator"": ""="", ""type"": ""uint256""}"
