src,relation,dst,extra_json
contract:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,hasStateVar,statevar:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.Acc,"{""_layers"": [""stage1_ast""]}"
contract:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,hasStateVar,statevar:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,hasStateVar,statevar:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.LogFile,"{""_layers"": [""stage1_ast""]}"
contract:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,hasStateVar,statevar:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.intitalized,"{""_layers"": [""stage1_ast""]}"
contract:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,hasFunction,function:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum,"{""_layers"": [""stage1_ast""]}"
function:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum,hasModifier,modifier:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum,containsStmt,stmt:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum,entryPointIs,stmt:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.1,"{""_layers"": [""stage1_ast""]}"
function:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum,containsStmt,stmt:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.1,hasNext,stmt:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.2,containsAssignment,assign:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetMinSum.2.1,"{""_layers"": [""stage1_ast""]}"
contract:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888,hasFunction,function:0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.SetLogFile,"{""_layers"": [""stage1_ast""]}"
