node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Contract,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,,9,59,"{""_layers"": [""stage1_ast""], ""ast_id"": 128, ""src"": ""102:1007:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""WALLET""}"
statevar:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Acc,StateVar,Acc,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 110, ""src"": ""935:38:0"", ""type"": ""mapping(address => struct WALLET.Holder)"", ""visibility"": ""public""}"
statevar:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.LogFile,StateVar,LogFile,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,,52,52,"{""_layers"": [""stage1_ast""], ""ast_id"": 112, ""src"": ""980:11:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
statevar:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.MinSum,StateVar,MinSum,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,,54,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 115, ""src"": ""998:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put,Function,Put,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,11,19,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 41, ""src"": ""124:248:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""WALLET""}"
modifier:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.1,Modifier,modifier_1,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,11,19,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.1,Stmt,stmt_1,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""192:25:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.2,Stmt,stmt_2,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""227:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.2.1,Assignment,assign_2_1,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 17, ""src"": ""227:24:0"", ""operator"": ""+="", ""type"": ""uint256""}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.3,Stmt,stmt_3,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""261:48:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.3.1,Assignment,assign_3_1,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""261:48:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.4,Stmt,stmt_4,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""319:46:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.4.1,FunctionCall,AddMessage,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Put,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 38, ""src"": ""319:46:0""}"
function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Collect,Function,Collect,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Collect,21,35,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 93, ""src"": ""378:401:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""WALLET""}"
modifier:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Collect.1,Modifier,modifier_1,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Collect,21,35,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Collect.1,Stmt,stmt_1,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Collect,25,25,"{""_layers"": [""stage1_ast""], ""ast_id"": 51, ""src"": ""442:25:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Collect.2,Stmt,stmt_2,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Collect,26,34,"{""_layers"": [""stage1_ast""], ""ast_id"": 91, ""src"": ""477:296:0"", ""stmt_kind"": ""IfStatement""}"
assign:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Collect.2.1,Assignment,assign_2_1,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Collect,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 77, ""src"": ""670:16:0"", ""operator"": ""-="", ""type"": ""uint256""}"
call:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Collect.2.1,FunctionCall,call,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Collect,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 72, ""src"": ""610:28:0""}"
call:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Collect.2.2,FunctionCall,value,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Collect,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 71, ""src"": ""610:26:0""}"
call:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Collect.2.3,FunctionCall,AddMessage,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,Collect,32,32,"{""_layers"": [""stage1_ast""], ""ast_id"": 86, ""src"": ""704:44:0""}"
function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.constructor,Function,constructor,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,constructor,37,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 101, ""src"": ""785:63:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true}"
modifier:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.constructor.1,Modifier,modifier_1,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.sol,0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,constructor,37,42,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
