src,relation,dst,extra_json
contract:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,hasStateVar,statevar:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Acc,"{""_layers"": [""stage1_ast""]}"
contract:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,hasStateVar,statevar:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.LogFile,"{""_layers"": [""stage1_ast""]}"
contract:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,hasStateVar,statevar:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e,hasFunction,function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put,"{""_layers"": [""stage1_ast""]}"
function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put,hasModifier,modifier:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put,containsStmt,stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put,entryPointIs,stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put,containsStmt,stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.1,hasNext,stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.2,containsAssignment,assign:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put,containsStmt,stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.2,hasNext,stmt:0xcead721ef5b11f1a7b530171aab69b16c5e66b6e.Put.3,"{""_layers"": [""stage1_ast""]}"
