src,relation,dst,extra_json
contract:0xf015c35649c82f5467c9c74b7f28ee67665aad68,hasStateVar,statevar:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Acc,"{""_layers"": [""stage1_ast""]}"
contract:0xf015c35649c82f5467c9c74b7f28ee67665aad68,hasStateVar,statevar:0xf015c35649c82f5467c9c74b7f28ee67665aad68.LogFile,"{""_layers"": [""stage1_ast""]}"
contract:0xf015c35649c82f5467c9c74b7f28ee67665aad68,hasStateVar,statevar:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MinSum,"{""_layers"": [""stage1_ast""]}"
contract:0xf015c35649c82f5467c9c74b7f28ee67665aad68,hasFunction,function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put,hasModifier,modifier:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put,containsStmt,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put,entryPointIs,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put,containsStmt,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1,hasNext,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.2,containsAssignment,assign:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.2.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put,containsStmt,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.2,hasNext,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.3,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.3,containsAssignment,assign:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.3.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put,containsStmt,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.3,hasNext,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.4,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.4,containsCall,call:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.4.1,"{""_layers"": [""stage1_ast""]}"
contract:0xf015c35649c82f5467c9c74b7f28ee67665aad68,hasFunction,function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect,hasModifier,modifier:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect,containsStmt,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect,entryPointIs,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect,containsStmt,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.1,hasNext,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2,containsAssignment,assign:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2,containsCall,call:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2,containsCall,call:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2.2,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2,containsCall,call:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect.2.3,"{""_layers"": [""stage1_ast""]}"
contract:0xf015c35649c82f5467c9c74b7f28ee67665aad68,hasFunction,function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor,hasModifier,modifier:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor,containsStmt,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor,entryPointIs,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor.1,containsCall,call:0xf015c35649c82f5467c9c74b7f28ee67665aad68.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0xf015c35649c82f5467c9c74b7f28ee67665aad68,hasFunction,function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK,hasModifier,modifier:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK,containsStmt,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK.1,"{""_layers"": [""stage1_ast""]}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK,entryPointIs,stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK.1,containsAssignment,assign:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK.1,containsCall,call:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MY_BANK.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1,readsStateVar,statevar:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Acc,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Acc"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1""}"
stateread:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1.1,targetsStateVar,statevar:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Acc,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""Acc"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1""}"
