node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0xf015c35649c82f5467c9c74b7f28ee67665aad68,Contract,0xf015c35649c82f5467c9c74b7f28ee67665aad68,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,,9,59,"{""_layers"": [""stage1_ast""], ""ast_id"": 128, ""src"": ""102:1009:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""MY_BANK""}"
statevar:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Acc,StateVar,Acc,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,,50,50,"{""_layers"": [""stage1_ast""], ""ast_id"": 110, ""src"": ""936:38:0"", ""type"": ""mapping(address => struct MY_BANK.Holder)"", ""visibility"": ""public""}"
statevar:0xf015c35649c82f5467c9c74b7f28ee67665aad68.LogFile,StateVar,LogFile,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,,52,52,"{""_layers"": [""stage1_ast""], ""ast_id"": 112, ""src"": ""981:11:0"", ""type"": ""contract Log"", ""visibility"": ""internal""}"
statevar:0xf015c35649c82f5467c9c74b7f28ee67665aad68.MinSum,StateVar,MinSum,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,,54,54,"{""_layers"": [""stage1_ast""], ""ast_id"": 115, ""src"": ""999:28:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put,Function,Put,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,11,19,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 41, ""src"": ""125:248:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MY_BANK""}"
modifier:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1,Modifier,modifier_1,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,11,19,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.1,Stmt,stmt_1,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 11, ""src"": ""193:25:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.2,Stmt,stmt_2,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""228:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.2.1,Assignment,assign_2_1,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 17, ""src"": ""228:24:0"", ""operator"": ""+="", ""type"": ""uint256""}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.3,Stmt,stmt_3,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""262:48:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.3.1,Assignment,assign_3_1,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""262:48:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.4,Stmt,stmt_4,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""320:46:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Put.4.1,FunctionCall,AddMessage,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Put,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 38, ""src"": ""320:46:0""}"
function:0xf015c35649c82f5467c9c74b7f28ee67665aad68.Collect,Function,Collect,0xf015c35649c82f5467c9c74b7f28ee67665aad68.sol,0xf015c35649c82f5467c9c74b7f28ee67665aad68,Collect,21,35,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 93, ""src"": ""379:401:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""MY_BANK""}"
