node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:BasicBank,Contract,BasicBank,BasicBank.sol,BasicBank,,4,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 85, ""src"": ""56:806:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""source""}"
statevar:BasicBank.userFunds,StateVar,userFunds,BasicBank.sol,BasicBank,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""78:43:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""private""}"
statevar:BasicBank.commissionCollector,StateVar,commissionCollector,BasicBank.sol,BasicBank,,6,6,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""127:35:0"", ""type"": ""address"", ""visibility"": ""private""}"
statevar:BasicBank.collectedComission,StateVar,collectedComission,BasicBank.sol,BasicBank,,7,7,"{""_layers"": [""stage1_ast""], ""ast_id"": 10, ""src"": ""168:35:0"", ""type"": ""uint256"", ""visibility"": ""private""}"
function:BasicBank.constructor,Function,constructor,BasicBank.sol,BasicBank,constructor,9,11,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 20, ""src"": ""210:101:0"", ""kind"": ""constructor"", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""BasicBank""}"
modifier:BasicBank.constructor.1,Modifier,modifier_1,BasicBank.sol,BasicBank,constructor,9,11,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:BasicBank.constructor.1,Stmt,stmt_1,BasicBank.sol,BasicBank,constructor,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 18, ""src"": ""262:42:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:BasicBank.constructor.1.1,Assignment,assign_1_1,BasicBank.sol,BasicBank,constructor,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 17, ""src"": ""262:42:0"", ""operator"": ""="", ""type"": ""address""}"
function:BasicBank.deposit,Function,deposit,BasicBank.sol,BasicBank,deposit,13,15,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 32, ""src"": ""317:87:0"", ""kind"": ""function"", ""visibility"": ""external"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""BasicBank""}"
modifier:BasicBank.deposit.1,Modifier,modifier_1,BasicBank.sol,BasicBank,deposit,13,15,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:BasicBank.deposit.1,Stmt,stmt_1,BasicBank.sol,BasicBank,deposit,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 30, ""src"": ""363:34:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:BasicBank.deposit.1.1,Assignment,assign_1_1,BasicBank.sol,BasicBank,deposit,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""363:34:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:BasicBank.withdraw,Function,withdraw,BasicBank.sol,BasicBank,withdraw,18,28,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 72, ""src"": ""435:318:0"", ""kind"": ""function"", ""visibility"": ""external"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""BasicBank""}"
modifier:BasicBank.withdraw.1,Modifier,modifier_1,BasicBank.sol,BasicBank,withdraw,18,28,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:BasicBank.withdraw.1,Stmt,stmt_1,BasicBank.sol,BasicBank,withdraw,19,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 45, ""src"": ""494:42:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:BasicBank.withdraw.1.1,Require,require,BasicBank.sol,BasicBank,withdraw,19,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""494:42:0""}"
call:BasicBank.withdraw.1.1,FunctionCall,getBalance,BasicBank.sol,BasicBank,withdraw,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 41, ""src"": ""502:22:0""}"
stmt:BasicBank.withdraw.2,Stmt,stmt_2,BasicBank.sol,BasicBank,withdraw,22,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 55, ""src"": ""595:35:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:BasicBank.withdraw.2.1,FunctionCall,call,BasicBank.sol,BasicBank,withdraw,22,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 54, ""src"": ""595:35:0""}"
stmt:BasicBank.withdraw.3,Stmt,stmt_3,BasicBank.sol,BasicBank,withdraw,25,25,"{""_layers"": [""stage1_ast""], ""ast_id"": 62, ""src"": ""641:32:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:BasicBank.withdraw.3.1,Assignment,assign_3_1,BasicBank.sol,BasicBank,withdraw,25,25,"{""_layers"": [""stage1_ast""], ""ast_id"": 61, ""src"": ""641:32:0"", ""operator"": ""-="", ""type"": ""uint256""}"
stmt:BasicBank.withdraw.4,Stmt,stmt_4,BasicBank.sol,BasicBank,withdraw,25,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 70, ""src"": ""683:47:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:BasicBank.withdraw.4.1,Assignment,assign_4_1,BasicBank.sol,BasicBank,withdraw,25,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 69, ""src"": ""683:47:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:BasicBank.getBalance,Function,getBalance,BasicBank.sol,BasicBank,getBalance,28,31,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 84, ""src"": ""759:101:0"", ""kind"": ""function"", ""visibility"": ""public"", ""stateMutability"": ""view"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""BasicBank""}"
modifier:BasicBank.getBalance.1,Modifier,modifier_1,BasicBank.sol,BasicBank,getBalance,28,31,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:BasicBank.getBalance.1,Stmt,stmt_1,BasicBank.sol,BasicBank,getBalance,31,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 82, ""src"": ""830:23:0"", ""stmt_kind"": ""Return""}"
statewrite:BasicBank.deposit.1,StateWrite,userFunds,BasicBank.sol,source,deposit,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userFunds"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:BasicBank.deposit.1""}"
stateread:BasicBank.deposit.1.1,StateRead,userFunds,BasicBank.sol,source,deposit,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userFunds"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:BasicBank.deposit.1""}"
internalcall:BasicBank.withdraw.1.1,InternalCall,source.getBalance,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""target"": ""source.getBalance"", ""evidence_ref"": ""raw_ir:BasicBank.withdraw.1""}"
externalcall:BasicBank.withdraw.2,ExternalCall,low_level_call,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""_amount"", ""evidence_ref"": ""raw_ir:BasicBank.withdraw.2""}"
statewrite:BasicBank.withdraw.3,StateWrite,userFunds,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""userFunds"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:BasicBank.withdraw.3""}"
stateread:BasicBank.withdraw.3.1,StateRead,userFunds,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""userFunds"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:BasicBank.withdraw.3""}"
statewrite:BasicBank.withdraw.4,StateWrite,userFunds,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""userFunds"", ""index"": ""commissionCollector"", ""evidence_ref"": ""raw_ir:BasicBank.withdraw.4""}"
stateread:BasicBank.withdraw.4.1,StateRead,userFunds,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""userFunds"", ""index"": ""commissionCollector"", ""evidence_ref"": ""raw_ir:BasicBank.withdraw.4""}"
stateread:BasicBank.getBalance.1.1,StateRead,userFunds,BasicBank.sol,source,getBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userFunds"", ""index"": ""_user"", ""evidence_ref"": ""raw_ir:BasicBank.getBalance.1""}"
version:BasicBank.commissionCollector_1,VersionedState,commissionCollector_1,BasicBank.sol,source,constructor,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""commissionCollector_1"", ""base_state_var"": ""commissionCollector"", ""ssa_stmt_index"": 1, ""evidence_ref"": ""raw_ssa:BasicBank.constructor.1""}"
version:BasicBank.userFunds_0,VersionedState,userFunds_0,BasicBank.sol,source,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_0"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.deposit.0""}"
version:BasicBank.userFunds_1,VersionedState,userFunds_1,BasicBank.sol,source,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_1"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.deposit.0""}"
version:BasicBank.userFunds_2,VersionedState,userFunds_2,BasicBank.sol,source,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_2"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.deposit.0""}"
version:BasicBank.userFunds_7,VersionedState,userFunds_7,BasicBank.sol,source,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_7"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.deposit.0""}"
version:BasicBank.userFunds_8,VersionedState,userFunds_8,BasicBank.sol,source,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_8"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.deposit.0""}"
commit:BasicBank.deposit.1,CommitPoint,commit_1,BasicBank.sol,source,deposit,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""userFunds"", ""pre_version"": ""userFunds_1"", ""post_version"": ""userFunds_2"", ""evidence_ref"": ""raw_ssa:BasicBank.deposit.1""}"
version:BasicBank.commissionCollector_0,VersionedState,commissionCollector_0,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""commissionCollector_0"", ""base_state_var"": ""commissionCollector"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.0""}"
version:BasicBank.commissionCollector_2,VersionedState,commissionCollector_2,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""commissionCollector_2"", ""base_state_var"": ""commissionCollector"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.0""}"
version:BasicBank.commissionCollector_4,VersionedState,commissionCollector_4,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""commissionCollector_4"", ""base_state_var"": ""commissionCollector"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.0""}"
version:BasicBank.userFunds_3,VersionedState,userFunds_3,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_3"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.0""}"
version:BasicBank.userFunds_4,VersionedState,userFunds_4,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_4"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 1, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.1""}"
version:BasicBank.commissionCollector_3,VersionedState,commissionCollector_3,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""commissionCollector_3"", ""base_state_var"": ""commissionCollector"", ""ssa_stmt_index"": 2, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.2""}"
version:BasicBank.userFunds_5,VersionedState,userFunds_5,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_5"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 2, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.2""}"
version:BasicBank.userFunds_6,VersionedState,userFunds_6,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userFunds_6"", ""base_state_var"": ""userFunds"", ""ssa_stmt_index"": 3, ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.3""}"
commit:BasicBank.withdraw.3,CommitPoint,commit_3,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 3, ""base_state_var"": ""userFunds"", ""pre_version"": ""userFunds_5"", ""post_version"": ""userFunds_6"", ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.3""}"
commit:BasicBank.withdraw.4,CommitPoint,commit_4,BasicBank.sol,source,withdraw,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 4, ""base_state_var"": ""userFunds"", ""pre_version"": ""userFunds_6"", ""post_version"": ""userFunds_7"", ""evidence_ref"": ""raw_ssa:BasicBank.withdraw.4""}"
cfgentry:BasicBank.BasicBank.constructor,CFGEntry,constructor(address),BasicBank.sol,BasicBank,constructor,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.constructor"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-constructor(address).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgexit:BasicBank.BasicBank.constructor,CFGExit,constructor(address),BasicBank.sol,BasicBank,constructor,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.constructor"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-constructor(address).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgnode:BasicBank.BasicBank.constructor.1,CFGNode,EXPRESSION:,BasicBank.sol,BasicBank,constructor,,,"{""_layers"": [""stage4_control""], ""dot_node_id"": ""1"", ""dot_label"": ""Node Type: EXPRESSION 1\n\nEXPRESSION:\ncommissionCollector = _commissionCollector\n\nIRs:\ncommissionCollector(address) := _commissionCollector(address)"", ""dot_attrs"": {""label"": ""Node Type: EXPRESSION 1\n\nEXPRESSION:\ncommissionCollector = _commissionCollector\n\nIRs:\ncommissionCollector(address) := _commissionCollector(address)""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-constructor(address).dot"", ""actual_contract_name"": ""BasicBank""}"
cfgentry:BasicBank.BasicBank.deposit,CFGEntry,deposit(),BasicBank.sol,BasicBank,deposit,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:BasicBank.deposit"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\BasicBank\\cfg__BasicBank.sol-BasicBank-deposit().dot"", ""actual_contract_name"": ""BasicBank""}"
