src,relation,dst,extra_json
contract:BasicBank,hasStateVar,statevar:BasicBank.userFunds,"{""_layers"": [""stage1_ast""]}"
contract:BasicBank,hasStateVar,statevar:BasicBank.commissionCollector,"{""_layers"": [""stage1_ast""]}"
contract:BasicBank,hasStateVar,statevar:BasicBank.collectedComission,"{""_layers"": [""stage1_ast""]}"
contract:BasicBank,hasFunction,function:BasicBank.constructor,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.constructor,hasModifier,modifier:BasicBank.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.constructor,containsStmt,stmt:BasicBank.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.constructor,entryPointIs,stmt:BasicBank.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:BasicBank.constructor.1,containsAssignment,assign:BasicBank.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
contract:BasicBank,hasFunction,function:BasicBank.deposit,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.deposit,hasModifier,modifier:BasicBank.deposit.1,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.deposit,containsStmt,stmt:BasicBank.deposit.1,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.deposit,entryPointIs,stmt:BasicBank.deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:BasicBank.deposit.1,containsAssignment,assign:BasicBank.deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:BasicBank,hasFunction,function:BasicBank.withdraw,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.withdraw,hasModifier,modifier:BasicBank.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.withdraw,containsStmt,stmt:BasicBank.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.withdraw,entryPointIs,stmt:BasicBank.withdraw.1,"{""_layers"": [""stage1_ast""]}"
stmt:BasicBank.withdraw.1,containsRequire,require:BasicBank.withdraw.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:BasicBank.withdraw.1,containsCall,call:BasicBank.withdraw.1.1,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.withdraw,containsStmt,stmt:BasicBank.withdraw.2,"{""_layers"": [""stage1_ast""]}"
stmt:BasicBank.withdraw.1,hasNext,stmt:BasicBank.withdraw.2,"{""_layers"": [""stage1_ast""]}"
stmt:BasicBank.withdraw.2,containsCall,call:BasicBank.withdraw.2.1,"{""_layers"": [""stage1_ast""]}"
function:BasicBank.withdraw,containsStmt,stmt:BasicBank.withdraw.3,"{""_layers"": [""stage1_ast""]}"
stmt:BasicBank.withdraw.2,hasNext,stmt:BasicBank.withdraw.3,"{""_layers"": [""stage1_ast""]}"
stmt:BasicBank.withdraw.3,containsAssignment,assign:BasicBank.withdraw.3.1,"{""_layers"": [""stage1_ast""]}"
