src,relation,dst,extra_json
contract:Exchange_ERC777,hasStateVar,statevar:Exchange_ERC777.token,"{""_layers"": [""stage1_ast""]}"
contract:Exchange_ERC777,hasFunction,function:Exchange_ERC777.constructor,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.constructor,containsStmt,stmt:Exchange_ERC777.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.constructor,entryPointIs,stmt:Exchange_ERC777.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.constructor.1,containsAssignment,assign:Exchange_ERC777.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.constructor.1,containsCall,call:Exchange_ERC777.constructor.1,"{""_layers"": [""stage1_ast""]}"
contract:Exchange_ERC777,hasFunction,function:Exchange_ERC777.getInputPrice,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.getInputPrice,containsStmt,stmt:Exchange_ERC777.getInputPrice.1,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.getInputPrice,entryPointIs,stmt:Exchange_ERC777.getInputPrice.1,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.getInputPrice,containsStmt,stmt:Exchange_ERC777.getInputPrice.2,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.getInputPrice.1,hasNext,stmt:Exchange_ERC777.getInputPrice.2,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.getInputPrice,containsStmt,stmt:Exchange_ERC777.getInputPrice.3,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.getInputPrice.2,hasNext,stmt:Exchange_ERC777.getInputPrice.3,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.getInputPrice,containsStmt,stmt:Exchange_ERC777.getInputPrice.4,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.getInputPrice.3,hasNext,stmt:Exchange_ERC777.getInputPrice.4,"{""_layers"": [""stage1_ast""]}"
contract:Exchange_ERC777,hasFunction,function:Exchange_ERC777.tokenToEthInput,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.tokenToEthInput,containsStmt,stmt:Exchange_ERC777.tokenToEthInput.1,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.tokenToEthInput,entryPointIs,stmt:Exchange_ERC777.tokenToEthInput.1,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.1,containsCall,call:Exchange_ERC777.tokenToEthInput.1,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.tokenToEthInput,containsStmt,stmt:Exchange_ERC777.tokenToEthInput.2,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.1,hasNext,stmt:Exchange_ERC777.tokenToEthInput.2,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.2,containsCall,call:Exchange_ERC777.tokenToEthInput.2,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.tokenToEthInput,containsStmt,stmt:Exchange_ERC777.tokenToEthInput.3,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.2,hasNext,stmt:Exchange_ERC777.tokenToEthInput.3,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.3,containsCall,call:Exchange_ERC777.tokenToEthInput.3,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.tokenToEthInput,containsStmt,stmt:Exchange_ERC777.tokenToEthInput.4,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.3,hasNext,stmt:Exchange_ERC777.tokenToEthInput.4,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.4,containsRequire,require:Exchange_ERC777.tokenToEthInput.4,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.tokenToEthInput,containsStmt,stmt:Exchange_ERC777.tokenToEthInput.5,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.4,hasNext,stmt:Exchange_ERC777.tokenToEthInput.5,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.5,containsCall,call:Exchange_ERC777.tokenToEthInput.5,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.tokenToEthInput,containsStmt,stmt:Exchange_ERC777.tokenToEthInput.6,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.5,hasNext,stmt:Exchange_ERC777.tokenToEthInput.6,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.6,containsRequire,require:Exchange_ERC777.tokenToEthInput.6,"{""_layers"": [""stage1_ast""]}"
function:Exchange_ERC777.tokenToEthInput,containsStmt,stmt:Exchange_ERC777.tokenToEthInput.7,"{""_layers"": [""stage1_ast""]}"
stmt:Exchange_ERC777.tokenToEthInput.6,hasNext,stmt:Exchange_ERC777.tokenToEthInput.7,"{""_layers"": [""stage1_ast""]}"
call:Exchange_ERC777.tokenToEthInput.1,callsExternal,externalcall:Exchange_ERC777.tokenToEthInput.1,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""call_kind"": ""HIGH_LEVEL_CALL"", ""dest"": ""token(IERC777)"", ""function"": ""balanceOf"", ""value"": """", ""evidence_ref"": ""raw_ir:Exchange_ERC777.tokenToEthInput.1""}"
call:Exchange_ERC777.tokenToEthInput.3,invokesInternal,internalcall:Exchange_ERC777.tokenToEthInput.3.1,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""target"": ""Exchange.getInputPrice"", ""evidence_ref"": ""raw_ir:Exchange_ERC777.tokenToEthInput.3""}"
