src,relation,dst,extra_json
contract:Reentrancy_OWASP,hasStateVar,statevar:Reentrancy_OWASP.balances,"{""_layers"": [""stage1_ast""]}"
contract:Reentrancy_OWASP,hasFunction,function:Reentrancy_OWASP.deposit,"{""_layers"": [""stage1_ast""]}"
function:Reentrancy_OWASP.deposit,containsStmt,stmt:Reentrancy_OWASP.deposit.1,"{""_layers"": [""stage1_ast""]}"
function:Reentrancy_OWASP.deposit,entryPointIs,stmt:Reentrancy_OWASP.deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:Reentrancy_OWASP.deposit.1,containsAssignment,assign:Reentrancy_OWASP.deposit.1.1,"{""_layers"": [""stage1_ast""]}"
contract:Reentrancy_OWASP,hasFunction,function:Reentrancy_OWASP.withdraw,"{""_layers"": [""stage1_ast""]}"
function:Reentrancy_OWASP.withdraw,containsStmt,stmt:Reentrancy_OWASP.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:Reentrancy_OWASP.withdraw,entryPointIs,stmt:Reentrancy_OWASP.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:Reentrancy_OWASP.withdraw,containsStmt,stmt:Reentrancy_OWASP.withdraw.2,"{""_layers"": [""stage1_ast""]}"
stmt:Reentrancy_OWASP.withdraw.1,hasNext,stmt:Reentrancy_OWASP.withdraw.2,"{""_layers"": [""stage1_ast""]}"
stmt:Reentrancy_OWASP.withdraw.2,containsRequire,require:Reentrancy_OWASP.withdraw.2.1,"{""_layers"": [""stage1_ast""]}"
function:Reentrancy_OWASP.withdraw,containsStmt,stmt:Reentrancy_OWASP.withdraw.3,"{""_layers"": [""stage1_ast""]}"
stmt:Reentrancy_OWASP.withdraw.2,hasNext,stmt:Reentrancy_OWASP.withdraw.3,"{""_layers"": [""stage1_ast""]}"
stmt:Reentrancy_OWASP.withdraw.3,containsCall,call:Reentrancy_OWASP.withdraw.3.1,"{""_layers"": [""stage1_ast""]}"
function:Reentrancy_OWASP.withdraw,containsStmt,stmt:Reentrancy_OWASP.withdraw.4,"{""_layers"": [""stage1_ast""]}"
stmt:Reentrancy_OWASP.withdraw.3,hasNext,stmt:Reentrancy_OWASP.withdraw.4,"{""_layers"": [""stage1_ast""]}"
