node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:Reentrancy_OWASP,Contract,Reentrancy_OWASP,Reentrancy_OWASP.sol,Reentrancy_OWASP,,4,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 58, ""src"": ""57:506:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Solidity_Reentrancy""}"
statevar:Reentrancy_OWASP.balances,StateVar,balances,Reentrancy_OWASP.sol,Reentrancy_OWASP,,5,5,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""92:40:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
function:Reentrancy_OWASP.deposit,Function,deposit,Reentrancy_OWASP.sol,Reentrancy_OWASP,deposit,7,9,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 17, ""src"": ""139:86:0"", ""kind"": ""function"", ""visibility"": ""external"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Solidity_Reentrancy""}"
stmt:Reentrancy_OWASP.deposit.1,Stmt,stmt_1,Reentrancy_OWASP.sol,Reentrancy_OWASP,deposit,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""185:33:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:Reentrancy_OWASP.deposit.1.1,Assignment,assign_1_1,Reentrancy_OWASP.sol,Reentrancy_OWASP,deposit,8,8,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""185:33:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:Reentrancy_OWASP.withdraw,Function,withdraw,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,11,21,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 57, ""src"": ""231:330:0"", ""kind"": ""function"", ""visibility"": ""external"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Solidity_Reentrancy""}"
stmt:Reentrancy_OWASP.withdraw.1,Stmt,stmt_1,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""270:34:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:Reentrancy_OWASP.withdraw.2,Stmt,stmt_2,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 33, ""src"": ""314:43:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:Reentrancy_OWASP.withdraw.2.1,Require,require,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 32, ""src"": ""314:43:0""}"
stmt:Reentrancy_OWASP.withdraw.3,Stmt,stmt_3,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,16,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 43, ""src"": ""421:53:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
call:Reentrancy_OWASP.withdraw.3.1,FunctionCall,call,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,16,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""440:34:0""}"
stmt:Reentrancy_OWASP.withdraw.4,Stmt,stmt_4,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,17,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 48, ""src"": ""484:35:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:Reentrancy_OWASP.withdraw.4.1,Require,require,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,17,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 47, ""src"": ""484:35:0""}"
stmt:Reentrancy_OWASP.withdraw.5,Stmt,stmt_5,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,20,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 55, ""src"": ""530:24:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:Reentrancy_OWASP.withdraw.5.1,Assignment,assign_5_1,Reentrancy_OWASP.sol,Reentrancy_OWASP,withdraw,20,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 54, ""src"": ""530:24:0"", ""operator"": ""="", ""type"": ""uint256""}"
statewrite:Reentrancy_OWASP.deposit.1,StateWrite,balances,Reentrancy_OWASP.sol,Solidity_Reentrancy,deposit,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:Reentrancy_OWASP.deposit.1""}"
stateread:Reentrancy_OWASP.deposit.1.1,StateRead,balances,Reentrancy_OWASP.sol,Solidity_Reentrancy,deposit,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:Reentrancy_OWASP.deposit.1""}"
stateread:Reentrancy_OWASP.withdraw.1.1,StateRead,balances,Reentrancy_OWASP.sol,Solidity_Reentrancy,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:Reentrancy_OWASP.withdraw.1""}"
externalcall:Reentrancy_OWASP.withdraw.4,ExternalCall,low_level_call,Reentrancy_OWASP.sol,Solidity_Reentrancy,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""amount"", ""evidence_ref"": ""raw_ir:Reentrancy_OWASP.withdraw.4""}"
stateread:Reentrancy_OWASP.withdraw.6.1,StateRead,balances,Reentrancy_OWASP.sol,Solidity_Reentrancy,withdraw,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 6, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:Reentrancy_OWASP.withdraw.6""}"
version:Reentrancy_OWASP.balances_0,VersionedState,balances_0,Reentrancy_OWASP.sol,Solidity_Reentrancy,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_0"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:Reentrancy_OWASP.deposit.0""}"
version:Reentrancy_OWASP.balances_1,VersionedState,balances_1,Reentrancy_OWASP.sol,Solidity_Reentrancy,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_1"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:Reentrancy_OWASP.deposit.0""}"
version:Reentrancy_OWASP.balances_2,VersionedState,balances_2,Reentrancy_OWASP.sol,Solidity_Reentrancy,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_2"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:Reentrancy_OWASP.deposit.0""}"
version:Reentrancy_OWASP.balances_4,VersionedState,balances_4,Reentrancy_OWASP.sol,Solidity_Reentrancy,deposit,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_4"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:Reentrancy_OWASP.deposit.0""}"
commit:Reentrancy_OWASP.deposit.1,CommitPoint,commit_1,Reentrancy_OWASP.sol,Solidity_Reentrancy,deposit,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:Reentrancy_OWASP.deposit.1""}"
version:Reentrancy_OWASP.balances_3,VersionedState,balances_3,Reentrancy_OWASP.sol,Solidity_Reentrancy,withdraw,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_3"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:Reentrancy_OWASP.withdraw.0""}"
