src,relation,dst,extra_json
contract:etherbank,hasStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage1_ast""]}"
contract:etherbank,hasFunction,function:etherbank.getBalance,"{""_layers"": [""stage1_ast""]}"
function:etherbank.getBalance,hasModifier,modifier:etherbank.getBalance.1,"{""_layers"": [""stage1_ast""]}"
function:etherbank.getBalance,containsStmt,stmt:etherbank.getBalance.1,"{""_layers"": [""stage1_ast""]}"
function:etherbank.getBalance,entryPointIs,stmt:etherbank.getBalance.1,"{""_layers"": [""stage1_ast""]}"
contract:etherbank,hasFunction,function:etherbank.addToBalance,"{""_layers"": [""stage1_ast""]}"
function:etherbank.addToBalance,hasModifier,modifier:etherbank.addToBalance.1,"{""_layers"": [""stage1_ast""]}"
function:etherbank.addToBalance,containsStmt,stmt:etherbank.addToBalance.1,"{""_layers"": [""stage1_ast""]}"
function:etherbank.addToBalance,entryPointIs,stmt:etherbank.addToBalance.1,"{""_layers"": [""stage1_ast""]}"
stmt:etherbank.addToBalance.1,containsAssignment,assign:etherbank.addToBalance.1.1,"{""_layers"": [""stage1_ast""]}"
contract:etherbank,hasFunction,function:etherbank.withdrawBalance,"{""_layers"": [""stage1_ast""]}"
function:etherbank.withdrawBalance,hasModifier,modifier:etherbank.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:etherbank.withdrawBalance,containsStmt,stmt:etherbank.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:etherbank.withdrawBalance,entryPointIs,stmt:etherbank.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:etherbank.withdrawBalance,containsStmt,stmt:etherbank.withdrawBalance.2,"{""_layers"": [""stage1_ast""]}"
stmt:etherbank.withdrawBalance.1,hasNext,stmt:etherbank.withdrawBalance.2,"{""_layers"": [""stage1_ast""]}"
stmt:etherbank.withdrawBalance.2,containsCall,call:etherbank.withdrawBalance.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:etherbank.withdrawBalance.2,containsCall,call:etherbank.withdrawBalance.2.2,"{""_layers"": [""stage1_ast""]}"
function:etherbank.withdrawBalance,containsStmt,stmt:etherbank.withdrawBalance.3,"{""_layers"": [""stage1_ast""]}"
stmt:etherbank.withdrawBalance.2,hasNext,stmt:etherbank.withdrawBalance.3,"{""_layers"": [""stage1_ast""]}"
stmt:etherbank.withdrawBalance.3,containsAssignment,assign:etherbank.withdrawBalance.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:etherbank.getBalance.1,readsStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""user"", ""evidence_ref"": ""raw_ir:etherbank.getBalance.1""}"
stateread:etherbank.getBalance.1.1,targetsStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""user"", ""evidence_ref"": ""raw_ir:etherbank.getBalance.1""}"
assign:etherbank.addToBalance.1.1,writesStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherbank.addToBalance.1""}"
statewrite:etherbank.addToBalance.1,targetsStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherbank.addToBalance.1""}"
stmt:etherbank.addToBalance.1,readsStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherbank.addToBalance.1""}"
stateread:etherbank.addToBalance.1.1,targetsStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherbank.addToBalance.1""}"
stmt:etherbank.withdrawBalance.1,readsStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherbank.withdrawBalance.1""}"
stateread:etherbank.withdrawBalance.1.1,targetsStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherbank.withdrawBalance.1""}"
call:etherbank.withdrawBalance.2.1,callsExternal,externalcall:etherbank.withdrawBalance.2,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""amountToWithdraw"", ""evidence_ref"": ""raw_ir:etherbank.withdrawBalance.2""}"
stateread:etherbank.withdrawBalance.5.1,targetsStateVar,statevar:etherbank.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherbank.withdrawBalance.5""}"
commit:etherbank.addToBalance.1,commitsVar,statevar:etherbank.userBalances,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""userBalances"", ""pre_version"": ""userBalances_2"", ""post_version"": ""userBalances_3"", ""evidence_ref"": ""raw_ssa:etherbank.addToBalance.1""}"
statewrite:etherbank.addToBalance.1,preStateVersion,version:etherbank.userBalances_2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""userBalances"", ""pre_version"": ""userBalances_2"", ""post_version"": ""userBalances_3"", ""evidence_ref"": ""raw_ssa:etherbank.addToBalance.1""}"
statewrite:etherbank.addToBalance.1,postStateVersion,version:etherbank.userBalances_3,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""userBalances"", ""pre_version"": ""userBalances_2"", ""post_version"": ""userBalances_3"", ""evidence_ref"": ""raw_ssa:etherbank.addToBalance.1""}"
statewrite:etherbank.addToBalance.1,commitsState,commit:etherbank.addToBalance.1,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""userBalances"", ""pre_version"": ""userBalances_2"", ""post_version"": ""userBalances_3"", ""evidence_ref"": ""raw_ssa:etherbank.addToBalance.1""}"
cfgentry:etherbank.etherbank.addToBalance,entryOf,function:etherbank.addToBalance,"{""_layers"": [""stage4_control""], ""function"": ""addToBalance()""}"
