node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:etherbank,Contract,etherbank,etherbank.sol,etherbank,,8,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 60, ""src"": ""175:460:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""EtherBank""}"
statevar:etherbank.userBalances,StateVar,userBalances,etherbank.sol,etherbank,,9,9,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""199:38:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
function:etherbank.getBalance,Function,getBalance,etherbank.sol,etherbank,getBalance,10,12,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 17, ""src"": ""243:92:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""view"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""EtherBank""}"
modifier:etherbank.getBalance.1,Modifier,modifier_1,etherbank.sol,etherbank,getBalance,10,12,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:etherbank.getBalance.1,Stmt,stmt_1,etherbank.sol,etherbank,getBalance,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""306:25:0"", ""stmt_kind"": ""Return""}"
function:etherbank.addToBalance,Function,addToBalance,etherbank.sol,etherbank,addToBalance,14,16,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 29, ""src"": ""338:71:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""EtherBank""}"
modifier:etherbank.addToBalance.1,Modifier,modifier_1,etherbank.sol,etherbank,addToBalance,14,16,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:etherbank.addToBalance.1,Stmt,stmt_1,etherbank.sol,etherbank,addToBalance,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""368:37:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:etherbank.addToBalance.1.1,Assignment,assign_1_1,etherbank.sol,etherbank,addToBalance,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""368:37:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:etherbank.withdrawBalance,Function,withdrawBalance,etherbank.sol,etherbank,withdrawBalance,18,23,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 59, ""src"": ""412:217:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""EtherBank""}"
modifier:etherbank.withdrawBalance.1,Modifier,modifier_1,etherbank.sol,etherbank,withdrawBalance,18,23,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:etherbank.withdrawBalance.1,Stmt,stmt_1,etherbank.sol,etherbank,withdrawBalance,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 38, ""src"": ""445:48:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:etherbank.withdrawBalance.2,Stmt,stmt_2,etherbank.sol,etherbank,withdrawBalance,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 50, ""src"": ""534:60:0"", ""stmt_kind"": ""IfStatement""}"
call:etherbank.withdrawBalance.2.1,FunctionCall,call,etherbank.sol,etherbank,withdrawBalance,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 45, ""src"": ""540:41:0""}"
call:etherbank.withdrawBalance.2.2,FunctionCall,value,etherbank.sol,etherbank,withdrawBalance,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 44, ""src"": ""540:39:0""}"
stmt:etherbank.withdrawBalance.3,Stmt,stmt_3,etherbank.sol,etherbank,withdrawBalance,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 57, ""src"": ""597:28:0"", ""stmt_kind"": ""ExpressionStatement""}"
