src,relation,dst,extra_json
contract:etherstore,hasStateVar,statevar:etherstore.withdrawalLimit,"{""_layers"": [""stage1_ast""]}"
contract:etherstore,hasStateVar,statevar:etherstore.lastWithdrawTime,"{""_layers"": [""stage1_ast""]}"
contract:etherstore,hasStateVar,statevar:etherstore.balances,"{""_layers"": [""stage1_ast""]}"
contract:etherstore,hasFunction,function:etherstore.depositFunds,"{""_layers"": [""stage1_ast""]}"
function:etherstore.depositFunds,hasModifier,modifier:etherstore.depositFunds.1,"{""_layers"": [""stage1_ast""]}"
function:etherstore.depositFunds,containsStmt,stmt:etherstore.depositFunds.1,"{""_layers"": [""stage1_ast""]}"
function:etherstore.depositFunds,entryPointIs,stmt:etherstore.depositFunds.1,"{""_layers"": [""stage1_ast""]}"
stmt:etherstore.depositFunds.1,containsAssignment,assign:etherstore.depositFunds.1.1,"{""_layers"": [""stage1_ast""]}"
contract:etherstore,hasFunction,function:etherstore.withdrawFunds,"{""_layers"": [""stage1_ast""]}"
function:etherstore.withdrawFunds,hasModifier,modifier:etherstore.withdrawFunds.1,"{""_layers"": [""stage1_ast""]}"
function:etherstore.withdrawFunds,containsStmt,stmt:etherstore.withdrawFunds.1,"{""_layers"": [""stage1_ast""]}"
function:etherstore.withdrawFunds,entryPointIs,stmt:etherstore.withdrawFunds.1,"{""_layers"": [""stage1_ast""]}"
stmt:etherstore.withdrawFunds.1,containsRequire,require:etherstore.withdrawFunds.1.1,"{""_layers"": [""stage1_ast""]}"
function:etherstore.withdrawFunds,containsStmt,stmt:etherstore.withdrawFunds.2,"{""_layers"": [""stage1_ast""]}"
stmt:etherstore.withdrawFunds.1,hasNext,stmt:etherstore.withdrawFunds.2,"{""_layers"": [""stage1_ast""]}"
stmt:etherstore.withdrawFunds.2,containsRequire,require:etherstore.withdrawFunds.2.1,"{""_layers"": [""stage1_ast""]}"
function:etherstore.withdrawFunds,containsStmt,stmt:etherstore.withdrawFunds.3,"{""_layers"": [""stage1_ast""]}"
stmt:etherstore.withdrawFunds.2,hasNext,stmt:etherstore.withdrawFunds.3,"{""_layers"": [""stage1_ast""]}"
