node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:etherstore,Contract,etherstore,etherstore.sol,etherstore,,10,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 81, ""src"": ""171:778:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""EtherStore""}"
statevar:etherstore.withdrawalLimit,StateVar,withdrawalLimit,etherstore.sol,etherstore,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 4, ""src"": ""198:40:0"", ""type"": ""uint256"", ""visibility"": ""public""}"
statevar:etherstore.lastWithdrawTime,StateVar,lastWithdrawTime,etherstore.sol,etherstore,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 8, ""src"": ""244:51:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
statevar:etherstore.balances,StateVar,balances,etherstore.sol,etherstore,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 12, ""src"": ""301:43:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
function:etherstore.depositFunds,Function,depositFunds,etherstore.sol,etherstore,depositFunds,16,18,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 24, ""src"": ""351:89:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""EtherStore""}"
modifier:etherstore.depositFunds.1,Modifier,modifier_1,etherstore.sol,etherstore,depositFunds,16,18,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:etherstore.depositFunds.1,Stmt,stmt_1,etherstore.sol,etherstore,depositFunds,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""400:33:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:etherstore.depositFunds.1.1,Assignment,assign_1_1,etherstore.sol,etherstore,depositFunds,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 21, ""src"": ""400:33:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:etherstore.withdrawFunds,Function,withdrawFunds,etherstore.sol,etherstore,withdrawFunds,20,30,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 80, ""src"": ""446:500:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""EtherStore""}"
modifier:etherstore.withdrawFunds.1,Modifier,modifier_1,etherstore.sol,etherstore,withdrawFunds,20,30,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:etherstore.withdrawFunds.1,Stmt,stmt_1,etherstore.sol,etherstore,withdrawFunds,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""511:47:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:etherstore.withdrawFunds.1.1,Require,require,etherstore.sol,etherstore,withdrawFunds,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 36, ""src"": ""511:47:0""}"
stmt:etherstore.withdrawFunds.2,Stmt,stmt_2,etherstore.sol,etherstore,withdrawFunds,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 43, ""src"": ""600:42:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:etherstore.withdrawFunds.2.1,Require,require,etherstore.sol,etherstore,withdrawFunds,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""600:42:0""}"
stmt:etherstore.withdrawFunds.3,Stmt,stmt_3,etherstore.sol,etherstore,withdrawFunds,25,25,"{""_layers"": [""stage1_ast""], ""ast_id"": 54, ""src"": ""698:54:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:etherstore.withdrawFunds.3.1,Require,require,etherstore.sol,etherstore,withdrawFunds,25,25,"{""_layers"": [""stage1_ast""], ""ast_id"": 53, ""src"": ""698:54:0""}"
stmt:etherstore.withdrawFunds.4,Stmt,stmt_4,etherstore.sol,etherstore,withdrawFunds,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 64, ""src"": ""799:48:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:etherstore.withdrawFunds.4.1,Require,require,etherstore.sol,etherstore,withdrawFunds,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 63, ""src"": ""799:48:0""}"
call:etherstore.withdrawFunds.4.1,FunctionCall,call,etherstore.sol,etherstore,withdrawFunds,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 62, ""src"": ""807:39:0""}"
call:etherstore.withdrawFunds.4.2,FunctionCall,value,etherstore.sol,etherstore,withdrawFunds,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 61, ""src"": ""807:37:0""}"
stmt:etherstore.withdrawFunds.5,Stmt,stmt_5,etherstore.sol,etherstore,withdrawFunds,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 71, ""src"": ""857:38:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:etherstore.withdrawFunds.5.1,Assignment,assign_5_1,etherstore.sol,etherstore,withdrawFunds,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 70, ""src"": ""857:38:0"", ""operator"": ""-="", ""type"": ""uint256""}"
stmt:etherstore.withdrawFunds.6,Stmt,stmt_6,etherstore.sol,etherstore,withdrawFunds,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 78, ""src"": ""905:34:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:etherstore.withdrawFunds.6.1,Assignment,assign_6_1,etherstore.sol,etherstore,withdrawFunds,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 77, ""src"": ""905:34:0"", ""operator"": ""="", ""type"": ""uint256""}"
statewrite:etherstore.depositFunds.1,StateWrite,balances,etherstore.sol,EtherStore,depositFunds,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherstore.depositFunds.1""}"
stateread:etherstore.depositFunds.1.1,StateRead,balances,etherstore.sol,EtherStore,depositFunds,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherstore.depositFunds.1""}"
stateread:etherstore.withdrawFunds.1.1,StateRead,balances,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherstore.withdrawFunds.1""}"
stateread:etherstore.withdrawFunds.3.1,StateRead,lastWithdrawTime,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""lastWithdrawTime"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherstore.withdrawFunds.3""}"
externalcall:etherstore.withdrawFunds.4,ExternalCall,low_level_call,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""_weiToWithdraw"", ""evidence_ref"": ""raw_ir:etherstore.withdrawFunds.4""}"
statewrite:etherstore.withdrawFunds.5,StateWrite,balances,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherstore.withdrawFunds.5""}"
stateread:etherstore.withdrawFunds.5.1,StateRead,balances,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherstore.withdrawFunds.5""}"
stateread:etherstore.withdrawFunds.6.1,StateRead,lastWithdrawTime,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 6, ""state_var"": ""lastWithdrawTime"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:etherstore.withdrawFunds.6""}"
version:etherstore.balances_0,VersionedState,balances_0,etherstore.sol,EtherStore,depositFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_0"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.depositFunds.0""}"
version:etherstore.balances_1,VersionedState,balances_1,etherstore.sol,EtherStore,depositFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_1"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.depositFunds.0""}"
version:etherstore.balances_2,VersionedState,balances_2,etherstore.sol,EtherStore,depositFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_2"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.depositFunds.0""}"
version:etherstore.balances_5,VersionedState,balances_5,etherstore.sol,EtherStore,depositFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_5"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.depositFunds.0""}"
commit:etherstore.depositFunds.1,CommitPoint,commit_1,etherstore.sol,EtherStore,depositFunds,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:etherstore.depositFunds.1""}"
version:etherstore.balances_3,VersionedState,balances_3,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_3"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.withdrawFunds.0""}"
version:etherstore.lastWithdrawTime_0,VersionedState,lastWithdrawTime_0,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""lastWithdrawTime_0"", ""base_state_var"": ""lastWithdrawTime"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.withdrawFunds.0""}"
version:etherstore.lastWithdrawTime_1,VersionedState,lastWithdrawTime_1,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""lastWithdrawTime_1"", ""base_state_var"": ""lastWithdrawTime"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.withdrawFunds.0""}"
version:etherstore.lastWithdrawTime_2,VersionedState,lastWithdrawTime_2,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""lastWithdrawTime_2"", ""base_state_var"": ""lastWithdrawTime"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.withdrawFunds.0""}"
version:etherstore.withdrawalLimit_0,VersionedState,withdrawalLimit_0,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""withdrawalLimit_0"", ""base_state_var"": ""withdrawalLimit"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.withdrawFunds.0""}"
version:etherstore.withdrawalLimit_1,VersionedState,withdrawalLimit_1,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""withdrawalLimit_1"", ""base_state_var"": ""withdrawalLimit"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:etherstore.withdrawFunds.0""}"
version:etherstore.balances_4,VersionedState,balances_4,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""balances_4"", ""base_state_var"": ""balances"", ""ssa_stmt_index"": 4, ""evidence_ref"": ""raw_ssa:etherstore.withdrawFunds.4""}"
commit:etherstore.withdrawFunds.5,CommitPoint,commit_5,etherstore.sol,EtherStore,withdrawFunds,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 5, ""base_state_var"": ""balances"", ""pre_version"": ""balances_4"", ""post_version"": ""balances_5"", ""evidence_ref"": ""raw_ssa:etherstore.withdrawFunds.5""}"
cfgentry:etherstore.etherstore.depositFunds,CFGEntry,depositFunds(),etherstore.sol,etherstore,depositFunds,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:etherstore.depositFunds"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\etherstore\\cfg__etherstore.sol-EtherStore-depositFunds().dot"", ""actual_contract_name"": ""EtherStore""}"
cfgexit:etherstore.etherstore.depositFunds,CFGExit,depositFunds(),etherstore.sol,etherstore,depositFunds,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:etherstore.depositFunds"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\etherstore\\cfg__etherstore.sol-EtherStore-depositFunds().dot"", ""actual_contract_name"": ""EtherStore""}"
functionref:etherstore.etherstore.slitherConstructorVariables,FunctionRef,slitherConstructorVariables(),etherstore.sol,etherstore,slitherConstructorVariables,,,"{""_layers"": [""stage4_control""], ""kind"": ""declared_function_from_cfg"", ""actual_contract_name"": ""EtherStore""}"
cfgentry:etherstore.etherstore.slitherConstructorVariables,CFGEntry,slitherConstructorVariables(),etherstore.sol,etherstore,slitherConstructorVariables,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""functionref:etherstore.etherstore.slitherConstructorVariables"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\etherstore\\cfg__etherstore.sol-EtherStore-slitherConstructorVariables().dot"", ""actual_contract_name"": ""EtherStore""}"
cfgexit:etherstore.etherstore.slitherConstructorVariables,CFGExit,slitherConstructorVariables(),etherstore.sol,etherstore,slitherConstructorVariables,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""functionref:etherstore.etherstore.slitherConstructorVariables"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\etherstore\\cfg__etherstore.sol-EtherStore-slitherConstructorVariables().dot"", ""actual_contract_name"": ""EtherStore""}"
