src,relation,dst,extra_json
contract:modifier_reentrancy,hasStateVar,statevar:modifier_reentrancy.hasBeenCalled,"{""_layers"": [""stage1_ast""]}"
contract:modifier_reentrancy,hasFunction,function:modifier_reentrancy.supportsToken,"{""_layers"": [""stage1_ast""]}"
function:modifier_reentrancy.supportsToken,hasModifier,modifier:modifier_reentrancy.supportsToken.1,"{""_layers"": [""stage1_ast""]}"
function:modifier_reentrancy.supportsToken,containsStmt,stmt:modifier_reentrancy.supportsToken.1,"{""_layers"": [""stage1_ast""]}"
function:modifier_reentrancy.supportsToken,entryPointIs,stmt:modifier_reentrancy.supportsToken.1,"{""_layers"": [""stage1_ast""]}"
stmt:modifier_reentrancy.supportsToken.1,containsAssignment,assign:modifier_reentrancy.supportsToken.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:modifier_reentrancy.supportsToken.1,containsCall,call:modifier_reentrancy.supportsToken.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:modifier_reentrancy.supportsToken.1,containsCall,call:modifier_reentrancy.supportsToken.1.2,"{""_layers"": [""stage1_ast""]}"
function:modifier_reentrancy.supportsToken,containsStmt,stmt:modifier_reentrancy.supportsToken.2,"{""_layers"": [""stage1_ast""]}"
stmt:modifier_reentrancy.supportsToken.1,hasNext,stmt:modifier_reentrancy.supportsToken.2,"{""_layers"": [""stage1_ast""]}"
stmt:modifier_reentrancy.supportsToken.2,containsCall,call:modifier_reentrancy.supportsToken.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:modifier_reentrancy.supportsToken.2,containsCall,call:modifier_reentrancy.supportsToken.2.2,"{""_layers"": [""stage1_ast""]}"
contract:modifier_reentrancy,hasFunction,function:modifier_reentrancy.call,"{""_layers"": [""stage1_ast""]}"
function:modifier_reentrancy.call,hasModifier,modifier:modifier_reentrancy.call.1,"{""_layers"": [""stage1_ast""]}"
function:modifier_reentrancy.call,containsStmt,stmt:modifier_reentrancy.call.1,"{""_layers"": [""stage1_ast""]}"
function:modifier_reentrancy.call,entryPointIs,stmt:modifier_reentrancy.call.1,"{""_layers"": [""stage1_ast""]}"
stmt:modifier_reentrancy.call.1,containsCall,call:modifier_reentrancy.call.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:modifier_reentrancy.call.1,containsCall,call:modifier_reentrancy.call.1.2,"{""_layers"": [""stage1_ast""]}"
call:modifier_reentrancy.call.1.1,callsExternal,externalcall:modifier_reentrancy.call.1,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""call_kind"": ""HIGH_LEVEL_CALL"", ""dest"": ""TMP_17(ModifierEntrancy)"", ""function"": ""airDrop"", ""value"": """", ""evidence_ref"": ""raw_ir:modifier_reentrancy.call.1""}"
cfgentry:modifier_reentrancy.modifier_reentrancy.call,entryOf,function:modifier_reentrancy.call,"{""_layers"": [""stage4_control""], ""function"": ""call(address)""}"
cfgexit:modifier_reentrancy.modifier_reentrancy.call,exitOf,function:modifier_reentrancy.call,"{""_layers"": [""stage4_control""], ""function"": ""call(address)""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.call.1,inFunction,function:modifier_reentrancy.call,"{""_layers"": [""stage4_control""], ""function"": ""call(address)""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.call.1,flowsToExit,cfgexit:modifier_reentrancy.modifier_reentrancy.call,"{""_layers"": [""stage4_control""], ""function"": ""call(address)""}"
cfgentry:modifier_reentrancy.modifier_reentrancy.supportsToken,entryOf,function:modifier_reentrancy.supportsToken,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()""}"
cfgexit:modifier_reentrancy.modifier_reentrancy.supportsToken,exitOf,function:modifier_reentrancy.supportsToken,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.1,inFunction,function:modifier_reentrancy.supportsToken,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.2,inFunction,function:modifier_reentrancy.supportsToken,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.3,inFunction,function:modifier_reentrancy.supportsToken,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.4,inFunction,function:modifier_reentrancy.supportsToken,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.5,inFunction,function:modifier_reentrancy.supportsToken,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.1,branchTo,cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.2,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()"", ""dot_edge_attrs"": {""label"": ""True""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\modifier_reentrancy\\cfg__modifier_reentrancy.sol-attack-supportsToken().dot""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.1,branchTo,cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.4,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()"", ""dot_edge_attrs"": {""label"": ""False""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\modifier_reentrancy\\cfg__modifier_reentrancy.sol-attack-supportsToken().dot""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.2,nextBlock,cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.3,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\modifier_reentrancy\\cfg__modifier_reentrancy.sol-attack-supportsToken().dot""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.3,nextBlock,cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.4,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\modifier_reentrancy\\cfg__modifier_reentrancy.sol-attack-supportsToken().dot""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.4,nextBlock,cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.5,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\modifier_reentrancy\\cfg__modifier_reentrancy.sol-attack-supportsToken().dot""}"
cfgnode:modifier_reentrancy.modifier_reentrancy.supportsToken.5,flowsToExit,cfgexit:modifier_reentrancy.modifier_reentrancy.supportsToken,"{""_layers"": [""stage4_control""], ""function"": ""supportsToken()""}"
function:modifier_reentrancy.supportsToken,callsBuiltin,builtin:keccak256(),"{""_layers"": [""stage4_control""], ""src_label"": ""supportsToken"", ""dst_label"": ""keccak256()"", ""callgraph_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\modifier_reentrancy\\call-graph__modifier_reentrancy.sol.attack.call-graph.dot""}"
function:modifier_reentrancy.supportsToken,callsBuiltin,builtin:abi.encodePacked(),"{""_layers"": [""stage4_control""], ""src_label"": ""supportsToken"", ""dst_label"": ""abi.encodePacked()"", ""callgraph_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\modifier_reentrancy\\call-graph__modifier_reentrancy.sol.attack.call-graph.dot""}"
