node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:modifier_reentrancy,Contract,modifier_reentrancy,modifier_reentrancy.sol,modifier_reentrancy,,37,49,"{""_layers"": [""stage1_ast""], ""ast_id"": 116, ""src"": ""985:434:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""attack""}"
statevar:modifier_reentrancy.hasBeenCalled,StateVar,hasBeenCalled,modifier_reentrancy.sol,modifier_reentrancy,,38,38,"{""_layers"": [""stage1_ast""], ""ast_id"": 74, ""src"": ""1065:18:0"", ""type"": ""bool"", ""visibility"": ""internal""}"
function:modifier_reentrancy.supportsToken,Function,supportsToken,modifier_reentrancy.sol,modifier_reentrancy,supportsToken,39,45,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 103, ""src"": ""1089:238:0"", ""kind"": """", ""visibility"": ""external"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""attack""}"
modifier:modifier_reentrancy.supportsToken.1,Modifier,modifier_1,modifier_reentrancy.sol,modifier_reentrancy,supportsToken,39,45,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:modifier_reentrancy.supportsToken.1,Stmt,stmt_1,modifier_reentrancy.sol,modifier_reentrancy,supportsToken,40,43,"{""_layers"": [""stage1_ast""], ""ast_id"": 93, ""src"": ""1149:115:0"", ""stmt_kind"": ""IfStatement""}"
assign:modifier_reentrancy.supportsToken.1.1,Assignment,assign_1_1,modifier_reentrancy.sol,modifier_reentrancy,supportsToken,41,41,"{""_layers"": [""stage1_ast""], ""ast_id"": 83, ""src"": ""1181:20:0"", ""operator"": ""="", ""type"": ""bool""}"
call:modifier_reentrancy.supportsToken.1.1,FunctionCall,airDrop,modifier_reentrancy.sol,modifier_reentrancy,supportsToken,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 90, ""src"": ""1215:38:0""}"
call:modifier_reentrancy.supportsToken.1.2,FunctionCall,ModifierEntrancy,modifier_reentrancy.sol,modifier_reentrancy,supportsToken,42,42,"{""_layers"": [""stage1_ast""], ""ast_id"": 88, ""src"": ""1215:28:0""}"
stmt:modifier_reentrancy.supportsToken.2,Stmt,stmt_2,modifier_reentrancy.sol,modifier_reentrancy,supportsToken,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 101, ""src"": ""1273:47:0"", ""stmt_kind"": ""Return""}"
call:modifier_reentrancy.supportsToken.2.1,FunctionCall,keccak256,modifier_reentrancy.sol,modifier_reentrancy,supportsToken,44,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 99, ""src"": ""1280:39:0""}"
