node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:reentrance,Contract,reentrance,reentrance.sol,reentrance,,9,32,"{""_layers"": [""stage1_ast""], ""ast_id"": 67, ""src"": ""192:529:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Reentrance""}"
statevar:reentrance.balances,StateVar,balances,reentrance.sol,reentrance,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""217:40:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""public""}"
function:reentrance.donate,Function,donate,reentrance.sol,reentrance,donate,13,15,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 18, ""src"": ""262:81:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrance""}"
modifier:reentrance.donate.1,Modifier,modifier_1,reentrance.sol,reentrance,donate,13,15,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrance.donate.1,Stmt,stmt_1,reentrance.sol,reentrance,donate,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""312:26:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:reentrance.donate.1.1,Assignment,assign_1_1,reentrance.sol,reentrance,donate,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""312:26:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:reentrance.balanceOf,Function,balanceOf,reentrance.sol,reentrance,balanceOf,17,19,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 30, ""src"": ""347:100:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""view"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrance""}"
modifier:reentrance.balanceOf.1,Modifier,modifier_1,reentrance.sol,reentrance,balanceOf,17,19,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrance.balanceOf.1,Stmt,stmt_1,reentrance.sol,reentrance,balanceOf,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""421:21:0"", ""stmt_kind"": ""Return""}"
function:reentrance.withdraw,Function,withdraw,reentrance.sol,reentrance,withdraw,21,29,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 62, ""src"": ""451:236:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrance""}"
