src,relation,dst,extra_json
contract:reentrance,hasStateVar,statevar:reentrance.balances,"{""_layers"": [""stage1_ast""]}"
contract:reentrance,hasFunction,function:reentrance.donate,"{""_layers"": [""stage1_ast""]}"
function:reentrance.donate,hasModifier,modifier:reentrance.donate.1,"{""_layers"": [""stage1_ast""]}"
function:reentrance.donate,containsStmt,stmt:reentrance.donate.1,"{""_layers"": [""stage1_ast""]}"
function:reentrance.donate,entryPointIs,stmt:reentrance.donate.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrance.donate.1,containsAssignment,assign:reentrance.donate.1.1,"{""_layers"": [""stage1_ast""]}"
contract:reentrance,hasFunction,function:reentrance.balanceOf,"{""_layers"": [""stage1_ast""]}"
function:reentrance.balanceOf,hasModifier,modifier:reentrance.balanceOf.1,"{""_layers"": [""stage1_ast""]}"
function:reentrance.balanceOf,containsStmt,stmt:reentrance.balanceOf.1,"{""_layers"": [""stage1_ast""]}"
function:reentrance.balanceOf,entryPointIs,stmt:reentrance.balanceOf.1,"{""_layers"": [""stage1_ast""]}"
contract:reentrance,hasFunction,function:reentrance.withdraw,"{""_layers"": [""stage1_ast""]}"
function:reentrance.withdraw,hasModifier,modifier:reentrance.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:reentrance.withdraw,containsStmt,stmt:reentrance.withdraw.1,"{""_layers"": [""stage1_ast""]}"
function:reentrance.withdraw,entryPointIs,stmt:reentrance.withdraw.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrance.withdraw.1,containsAssignment,assign:reentrance.withdraw.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrance.withdraw.1,containsCall,call:reentrance.withdraw.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrance.withdraw.1,containsCall,call:reentrance.withdraw.1.2,"{""_layers"": [""stage1_ast""]}"
contract:reentrance,hasFunction,function:reentrance.constructor,"{""_layers"": [""stage1_ast""]}"
function:reentrance.constructor,hasModifier,modifier:reentrance.constructor.1,"{""_layers"": [""stage1_ast""]}"
assign:reentrance.donate.1.1,writesStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""_to"", ""evidence_ref"": ""raw_ir:reentrance.donate.1""}"
statewrite:reentrance.donate.1,targetsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""_to"", ""evidence_ref"": ""raw_ir:reentrance.donate.1""}"
stmt:reentrance.donate.1,readsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""_to"", ""evidence_ref"": ""raw_ir:reentrance.donate.1""}"
stateread:reentrance.donate.1.1,targetsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""_to"", ""evidence_ref"": ""raw_ir:reentrance.donate.1""}"
stmt:reentrance.balanceOf.1,readsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""_who"", ""evidence_ref"": ""raw_ir:reentrance.balanceOf.1""}"
stateread:reentrance.balanceOf.1.1,targetsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""_who"", ""evidence_ref"": ""raw_ir:reentrance.balanceOf.1""}"
stmt:reentrance.withdraw.1,readsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrance.withdraw.1""}"
stateread:reentrance.withdraw.1.1,targetsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrance.withdraw.1""}"
statewrite:reentrance.withdraw.5,targetsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrance.withdraw.5""}"
stateread:reentrance.withdraw.5.1,targetsStateVar,statevar:reentrance.balances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""balances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrance.withdraw.5""}"
commit:reentrance.donate.1,commitsVar,statevar:reentrance.balances,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:reentrance.donate.1""}"
statewrite:reentrance.donate.1,preStateVersion,version:reentrance.balances_1,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:reentrance.donate.1""}"
statewrite:reentrance.donate.1,postStateVersion,version:reentrance.balances_2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:reentrance.donate.1""}"
statewrite:reentrance.donate.1,commitsState,commit:reentrance.donate.1,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""balances"", ""pre_version"": ""balances_1"", ""post_version"": ""balances_2"", ""evidence_ref"": ""raw_ssa:reentrance.donate.1""}"
commit:reentrance.withdraw.5,commitsVar,statevar:reentrance.balances,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 5, ""base_state_var"": ""balances"", ""pre_version"": ""balances_5"", ""post_version"": ""balances_6"", ""evidence_ref"": ""raw_ssa:reentrance.withdraw.5""}"
statewrite:reentrance.withdraw.5,preStateVersion,version:reentrance.balances_5,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 5, ""base_state_var"": ""balances"", ""pre_version"": ""balances_5"", ""post_version"": ""balances_6"", ""evidence_ref"": ""raw_ssa:reentrance.withdraw.5""}"
statewrite:reentrance.withdraw.5,postStateVersion,version:reentrance.balances_6,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 5, ""base_state_var"": ""balances"", ""pre_version"": ""balances_5"", ""post_version"": ""balances_6"", ""evidence_ref"": ""raw_ssa:reentrance.withdraw.5""}"
statewrite:reentrance.withdraw.5,commitsState,commit:reentrance.withdraw.5,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 5, ""base_state_var"": ""balances"", ""pre_version"": ""balances_5"", ""post_version"": ""balances_6"", ""evidence_ref"": ""raw_ssa:reentrance.withdraw.5""}"
cfgentry:reentrance.reentrance.balanceOf,entryOf,function:reentrance.balanceOf,"{""_layers"": [""stage4_control""], ""function"": ""balanceOf(address)""}"
cfgexit:reentrance.reentrance.balanceOf,exitOf,function:reentrance.balanceOf,"{""_layers"": [""stage4_control""], ""function"": ""balanceOf(address)""}"
