src,relation,dst,extra_json
contract:reentrancy_bonus,hasStateVar,statevar:reentrancy_bonus.userBalances,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_bonus,hasStateVar,statevar:reentrancy_bonus.claimedBonus,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_bonus,hasStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_bonus,hasFunction,function:reentrancy_bonus.withdrawReward,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.withdrawReward,hasModifier,modifier:reentrancy_bonus.withdrawReward.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.withdrawReward,containsStmt,stmt:reentrancy_bonus.withdrawReward.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.withdrawReward,entryPointIs,stmt:reentrancy_bonus.withdrawReward.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.withdrawReward,containsStmt,stmt:reentrancy_bonus.withdrawReward.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.withdrawReward.1,hasNext,stmt:reentrancy_bonus.withdrawReward.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.withdrawReward.2,containsAssignment,assign:reentrancy_bonus.withdrawReward.2.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.withdrawReward,containsStmt,stmt:reentrancy_bonus.withdrawReward.3,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.withdrawReward.2,hasNext,stmt:reentrancy_bonus.withdrawReward.3,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.withdrawReward.3,containsCall,call:reentrancy_bonus.withdrawReward.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.withdrawReward.3,containsCall,call:reentrancy_bonus.withdrawReward.3.2,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.withdrawReward,containsStmt,stmt:reentrancy_bonus.withdrawReward.4,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.withdrawReward.3,hasNext,stmt:reentrancy_bonus.withdrawReward.4,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.withdrawReward.4,containsRequire,require:reentrancy_bonus.withdrawReward.4.1,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_bonus,hasFunction,function:reentrancy_bonus.getFirstWithdrawalBonus,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.getFirstWithdrawalBonus,hasModifier,modifier:reentrancy_bonus.getFirstWithdrawalBonus.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.getFirstWithdrawalBonus,containsStmt,stmt:reentrancy_bonus.getFirstWithdrawalBonus.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.getFirstWithdrawalBonus,entryPointIs,stmt:reentrancy_bonus.getFirstWithdrawalBonus.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.1,containsRequire,require:reentrancy_bonus.getFirstWithdrawalBonus.1.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.getFirstWithdrawalBonus,containsStmt,stmt:reentrancy_bonus.getFirstWithdrawalBonus.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.1,hasNext,stmt:reentrancy_bonus.getFirstWithdrawalBonus.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.2,containsAssignment,assign:reentrancy_bonus.getFirstWithdrawalBonus.2.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.getFirstWithdrawalBonus,containsStmt,stmt:reentrancy_bonus.getFirstWithdrawalBonus.3,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.2,hasNext,stmt:reentrancy_bonus.getFirstWithdrawalBonus.3,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.3,containsCall,call:reentrancy_bonus.getFirstWithdrawalBonus.3.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_bonus.getFirstWithdrawalBonus,containsStmt,stmt:reentrancy_bonus.getFirstWithdrawalBonus.4,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.3,hasNext,stmt:reentrancy_bonus.getFirstWithdrawalBonus.4,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.4,containsAssignment,assign:reentrancy_bonus.getFirstWithdrawalBonus.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_bonus.withdrawReward.1,readsStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.withdrawReward.1""}"
stateread:reentrancy_bonus.withdrawReward.1.1,targetsStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.withdrawReward.1""}"
stmt:reentrancy_bonus.withdrawReward.2,readsStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.withdrawReward.2""}"
stateread:reentrancy_bonus.withdrawReward.2.1,targetsStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.withdrawReward.2""}"
call:reentrancy_bonus.withdrawReward.3.1,callsExternal,externalcall:reentrancy_bonus.withdrawReward.3,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""recipient"", ""function"": ""call"", ""value"": ""amountToWithdraw"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.withdrawReward.3""}"
require:reentrancy_bonus.getFirstWithdrawalBonus.1.1,readsStateVar,statevar:reentrancy_bonus.claimedBonus,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""claimedBonus"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.1""}"
stateread:reentrancy_bonus.getFirstWithdrawalBonus.1.1,targetsStateVar,statevar:reentrancy_bonus.claimedBonus,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""claimedBonus"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.1""}"
assign:reentrancy_bonus.getFirstWithdrawalBonus.2.1,writesStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
statewrite:reentrancy_bonus.getFirstWithdrawalBonus.2,targetsStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.2,readsStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
stateread:reentrancy_bonus.getFirstWithdrawalBonus.2.1,targetsStateVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
call:reentrancy_bonus.getFirstWithdrawalBonus.3.1,invokesInternal,internalcall:reentrancy_bonus.getFirstWithdrawalBonus.3.1,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""target"": ""Reentrancy_bonus.withdrawReward"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.3""}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.4,readsStateVar,statevar:reentrancy_bonus.claimedBonus,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""claimedBonus"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.4""}"
stateread:reentrancy_bonus.getFirstWithdrawalBonus.4.1,targetsStateVar,statevar:reentrancy_bonus.claimedBonus,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""claimedBonus"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.4""}"
commit:reentrancy_bonus.getFirstWithdrawalBonus.2,commitsVar,statevar:reentrancy_bonus.rewardsForA,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""rewardsForA"", ""pre_version"": ""rewardsForA_3"", ""post_version"": ""rewardsForA_4"", ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
statewrite:reentrancy_bonus.getFirstWithdrawalBonus.2,preStateVersion,version:reentrancy_bonus.rewardsForA_3,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""rewardsForA"", ""pre_version"": ""rewardsForA_3"", ""post_version"": ""rewardsForA_4"", ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
statewrite:reentrancy_bonus.getFirstWithdrawalBonus.2,postStateVersion,version:reentrancy_bonus.rewardsForA_4,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""rewardsForA"", ""pre_version"": ""rewardsForA_3"", ""post_version"": ""rewardsForA_4"", ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
statewrite:reentrancy_bonus.getFirstWithdrawalBonus.2,commitsState,commit:reentrancy_bonus.getFirstWithdrawalBonus.2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""rewardsForA"", ""pre_version"": ""rewardsForA_3"", ""post_version"": ""rewardsForA_4"", ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
cfgentry:reentrancy_bonus.reentrancy_bonus.getFirstWithdrawalBonus,entryOf,function:reentrancy_bonus.getFirstWithdrawalBonus,"{""_layers"": [""stage4_control""], ""function"": ""getFirstWithdrawalBonus(address)""}"
cfgexit:reentrancy_bonus.reentrancy_bonus.getFirstWithdrawalBonus,exitOf,function:reentrancy_bonus.getFirstWithdrawalBonus,"{""_layers"": [""stage4_control""], ""function"": ""getFirstWithdrawalBonus(address)""}"
cfgnode:reentrancy_bonus.reentrancy_bonus.getFirstWithdrawalBonus.3,inFunction,function:reentrancy_bonus.getFirstWithdrawalBonus,"{""_layers"": [""stage4_control""], ""function"": ""getFirstWithdrawalBonus(address)""}"
cfgentry:reentrancy_bonus.reentrancy_bonus.withdrawReward,entryOf,function:reentrancy_bonus.withdrawReward,"{""_layers"": [""stage4_control""], ""function"": ""withdrawReward(address)""}"
cfgexit:reentrancy_bonus.reentrancy_bonus.withdrawReward,exitOf,function:reentrancy_bonus.withdrawReward,"{""_layers"": [""stage4_control""], ""function"": ""withdrawReward(address)""}"
cfgnode:reentrancy_bonus.reentrancy_bonus.withdrawReward.3,inFunction,function:reentrancy_bonus.withdrawReward,"{""_layers"": [""stage4_control""], ""function"": ""withdrawReward(address)""}"
cfgnode:reentrancy_bonus.reentrancy_bonus.withdrawReward.4,inFunction,function:reentrancy_bonus.withdrawReward,"{""_layers"": [""stage4_control""], ""function"": ""withdrawReward(address)""}"
