node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:reentrancy_bonus,Contract,reentrancy_bonus,reentrancy_bonus.sol,reentrancy_bonus,,9,31,"{""_layers"": [""stage1_ast""], ""ast_id"": 75, ""src"": ""169:865:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Reentrancy_bonus""}"
statevar:reentrancy_bonus.userBalances,StateVar,userBalances,reentrancy_bonus.sol,reentrancy_bonus,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""217:46:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""private""}"
statevar:reentrancy_bonus.claimedBonus,StateVar,claimedBonus,reentrancy_bonus.sol,reentrancy_bonus,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 9, ""src"": ""269:46:0"", ""type"": ""mapping(address => bool)"", ""visibility"": ""private""}"
statevar:reentrancy_bonus.rewardsForA,StateVar,rewardsForA,reentrancy_bonus.sol,reentrancy_bonus,,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 13, ""src"": ""321:45:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""private""}"
function:reentrancy_bonus.withdrawReward,Function,withdrawReward,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,16,21,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 45, ""src"": ""373:246:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrancy_bonus""}"
modifier:reentrancy_bonus.withdrawReward.1,Modifier,modifier_1,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,16,21,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_bonus.withdrawReward.1,Stmt,stmt_1,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 23, ""src"": ""433:46:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:reentrancy_bonus.withdrawReward.2,Stmt,stmt_2,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""489:26:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:reentrancy_bonus.withdrawReward.2.1,Assignment,assign_2_1,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""489:26:0"", ""operator"": ""="", ""type"": ""uint256""}"
stmt:reentrancy_bonus.withdrawReward.3,Stmt,stmt_3,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""525:61:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
call:reentrancy_bonus.withdrawReward.3.1,FunctionCall,call,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 38, ""src"": ""544:42:0""}"
call:reentrancy_bonus.withdrawReward.3.2,FunctionCall,value,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 36, ""src"": ""544:38:0""}"
stmt:reentrancy_bonus.withdrawReward.4,Stmt,stmt_4,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 43, ""src"": ""596:16:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:reentrancy_bonus.withdrawReward.4.1,Require,require,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 42, ""src"": ""596:16:0""}"
function:reentrancy_bonus.getFirstWithdrawalBonus,Function,getFirstWithdrawalBonus,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,23,30,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 74, ""src"": ""625:407:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrancy_bonus""}"
modifier:reentrancy_bonus.getFirstWithdrawalBonus.1,Modifier,modifier_1,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,23,30,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.1,Stmt,stmt_1,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 56, ""src"": ""694:33:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:reentrancy_bonus.getFirstWithdrawalBonus.1.1,Require,require,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 55, ""src"": ""694:33:0""}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.2,Stmt,stmt_2,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,26,26,"{""_layers"": [""stage1_ast""], ""ast_id"": 62, ""src"": ""800:29:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:reentrancy_bonus.getFirstWithdrawalBonus.2.1,Assignment,assign_2_1,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,26,26,"{""_layers"": [""stage1_ast""], ""ast_id"": 61, ""src"": ""800:29:0"", ""operator"": ""+="", ""type"": ""uint256""}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.3,Stmt,stmt_3,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 66, ""src"": ""876:25:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:reentrancy_bonus.getFirstWithdrawalBonus.3.1,FunctionCall,withdrawReward,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 65, ""src"": ""876:25:0""}"
stmt:reentrancy_bonus.getFirstWithdrawalBonus.4,Stmt,stmt_4,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 72, ""src"": ""995:30:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:reentrancy_bonus.getFirstWithdrawalBonus.4.1,Assignment,assign_4_1,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 71, ""src"": ""995:30:0"", ""operator"": ""="", ""type"": ""bool""}"
stateread:reentrancy_bonus.withdrawReward.1.1,StateRead,rewardsForA,reentrancy_bonus.sol,Reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.withdrawReward.1""}"
stateread:reentrancy_bonus.withdrawReward.2.1,StateRead,rewardsForA,reentrancy_bonus.sol,Reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.withdrawReward.2""}"
externalcall:reentrancy_bonus.withdrawReward.3,ExternalCall,low_level_call,reentrancy_bonus.sol,Reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""recipient"", ""function"": ""call"", ""value"": ""amountToWithdraw"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.withdrawReward.3""}"
stateread:reentrancy_bonus.getFirstWithdrawalBonus.1.1,StateRead,claimedBonus,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""claimedBonus"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.1""}"
statewrite:reentrancy_bonus.getFirstWithdrawalBonus.2,StateWrite,rewardsForA,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
stateread:reentrancy_bonus.getFirstWithdrawalBonus.2.1,StateRead,rewardsForA,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""rewardsForA"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
internalcall:reentrancy_bonus.getFirstWithdrawalBonus.3.1,InternalCall,Reentrancy_bonus.withdrawReward,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""target"": ""Reentrancy_bonus.withdrawReward"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.3""}"
stateread:reentrancy_bonus.getFirstWithdrawalBonus.4.1,StateRead,claimedBonus,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""claimedBonus"", ""index"": ""recipient"", ""evidence_ref"": ""raw_ir:reentrancy_bonus.getFirstWithdrawalBonus.4""}"
version:reentrancy_bonus.rewardsForA_0,VersionedState,rewardsForA_0,reentrancy_bonus.sol,Reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""rewardsForA_0"", ""base_state_var"": ""rewardsForA"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_bonus.withdrawReward.0""}"
version:reentrancy_bonus.rewardsForA_1,VersionedState,rewardsForA_1,reentrancy_bonus.sol,Reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""rewardsForA_1"", ""base_state_var"": ""rewardsForA"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_bonus.withdrawReward.0""}"
version:reentrancy_bonus.rewardsForA_2,VersionedState,rewardsForA_2,reentrancy_bonus.sol,Reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""rewardsForA_2"", ""base_state_var"": ""rewardsForA"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_bonus.withdrawReward.0""}"
version:reentrancy_bonus.rewardsForA_4,VersionedState,rewardsForA_4,reentrancy_bonus.sol,Reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""rewardsForA_4"", ""base_state_var"": ""rewardsForA"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_bonus.withdrawReward.0""}"
version:reentrancy_bonus.claimedBonus_0,VersionedState,claimedBonus_0,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""claimedBonus_0"", ""base_state_var"": ""claimedBonus"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.0""}"
version:reentrancy_bonus.claimedBonus_1,VersionedState,claimedBonus_1,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""claimedBonus_1"", ""base_state_var"": ""claimedBonus"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.0""}"
version:reentrancy_bonus.claimedBonus_2,VersionedState,claimedBonus_2,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""claimedBonus_2"", ""base_state_var"": ""claimedBonus"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.0""}"
version:reentrancy_bonus.rewardsForA_3,VersionedState,rewardsForA_3,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""rewardsForA_3"", ""base_state_var"": ""rewardsForA"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.0""}"
commit:reentrancy_bonus.getFirstWithdrawalBonus.2,CommitPoint,commit_2,reentrancy_bonus.sol,Reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""rewardsForA"", ""pre_version"": ""rewardsForA_3"", ""post_version"": ""rewardsForA_4"", ""evidence_ref"": ""raw_ssa:reentrancy_bonus.getFirstWithdrawalBonus.2""}"
cfgentry:reentrancy_bonus.reentrancy_bonus.getFirstWithdrawalBonus,CFGEntry,getFirstWithdrawalBonus(address),reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:reentrancy_bonus.getFirstWithdrawalBonus"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_bonus\\cfg__reentrancy_bonus.sol-Reentrancy_bonus-getFirstWithdrawalBonus(address).dot"", ""actual_contract_name"": ""Reentrancy_bonus""}"
cfgexit:reentrancy_bonus.reentrancy_bonus.getFirstWithdrawalBonus,CFGExit,getFirstWithdrawalBonus(address),reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:reentrancy_bonus.getFirstWithdrawalBonus"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_bonus\\cfg__reentrancy_bonus.sol-Reentrancy_bonus-getFirstWithdrawalBonus(address).dot"", ""actual_contract_name"": ""Reentrancy_bonus""}"
cfgnode:reentrancy_bonus.reentrancy_bonus.getFirstWithdrawalBonus.3,CFGNode,EXPRESSION:,reentrancy_bonus.sol,reentrancy_bonus,getFirstWithdrawalBonus,,,"{""_layers"": [""stage4_control""], ""dot_node_id"": ""3"", ""dot_label"": ""Node Type: EXPRESSION 3\n\nEXPRESSION:\nwithdrawReward(recipient)\n\nIRs:\nINTERNAL_CALL, Reentrancy_bonus.withdrawReward(address)(recipient)"", ""dot_attrs"": {""label"": ""Node Type: EXPRESSION 3\n\nEXPRESSION:\nwithdrawReward(recipient)\n\nIRs:\nINTERNAL_CALL, Reentrancy_bonus.withdrawReward(address)(recipient)""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_bonus\\cfg__reentrancy_bonus.sol-Reentrancy_bonus-getFirstWithdrawalBonus(address).dot"", ""actual_contract_name"": ""Reentrancy_bonus""}"
cfgentry:reentrancy_bonus.reentrancy_bonus.withdrawReward,CFGEntry,withdrawReward(address),reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:reentrancy_bonus.withdrawReward"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_bonus\\cfg__reentrancy_bonus.sol-Reentrancy_bonus-withdrawReward(address).dot"", ""actual_contract_name"": ""Reentrancy_bonus""}"
cfgexit:reentrancy_bonus.reentrancy_bonus.withdrawReward,CFGExit,withdrawReward(address),reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:reentrancy_bonus.withdrawReward"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_bonus\\cfg__reentrancy_bonus.sol-Reentrancy_bonus-withdrawReward(address).dot"", ""actual_contract_name"": ""Reentrancy_bonus""}"
cfgnode:reentrancy_bonus.reentrancy_bonus.withdrawReward.3,CFGNode,EXPRESSION:,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage4_control""], ""dot_node_id"": ""3"", ""dot_label"": ""Node Type: NEW VARIABLE 3\n\nEXPRESSION:\nsuccess = recipient.call.value(amountToWithdraw)()\n\nIRs:\nTMP_1(bool) = LOW_LEVEL_CALL, dest:recipient, function:call, arguments:[''] value:amountToWithdraw \nsuccess(bool) := TMP_1(bool)"", ""dot_attrs"": {""label"": ""Node Type: NEW VARIABLE 3\n\nEXPRESSION:\nsuccess = recipient.call.value(amountToWithdraw)()\n\nIRs:\nTMP_1(bool) = LOW_LEVEL_CALL, dest:recipient, function:call, arguments:[''] value:amountToWithdraw \nsuccess(bool) := TMP_1(bool)""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_bonus\\cfg__reentrancy_bonus.sol-Reentrancy_bonus-withdrawReward(address).dot"", ""actual_contract_name"": ""Reentrancy_bonus""}"
cfgnode:reentrancy_bonus.reentrancy_bonus.withdrawReward.4,CFGNode,EXPRESSION:,reentrancy_bonus.sol,reentrancy_bonus,withdrawReward,,,"{""_layers"": [""stage4_control""], ""dot_node_id"": ""4"", ""dot_label"": ""Node Type: EXPRESSION 4\n\nEXPRESSION:\nrequire(bool)(success)\n\nIRs:\nTMP_2(None) = SOLIDITY_CALL require(bool)(success)"", ""dot_attrs"": {""label"": ""Node Type: EXPRESSION 4\n\nEXPRESSION:\nrequire(bool)(success)\n\nIRs:\nTMP_2(None) = SOLIDITY_CALL require(bool)(success)""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_bonus\\cfg__reentrancy_bonus.sol-Reentrancy_bonus-withdrawReward(address).dot"", ""actual_contract_name"": ""Reentrancy_bonus""}"
builtin:require(bool),FunctionRef,require(bool),reentrancy_bonus.sol,<builtin>,require,,,"{""_layers"": [""stage4_control""], ""kind"": ""builtin""}"
