src,relation,dst,extra_json
contract:reentrancy_cross_function,hasStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_cross_function,hasFunction,function:reentrancy_cross_function.transfer,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.transfer,hasModifier,modifier:reentrancy_cross_function.transfer.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.transfer,containsStmt,stmt:reentrancy_cross_function.transfer.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.transfer,entryPointIs,stmt:reentrancy_cross_function.transfer.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.transfer.1,containsAssignment,assign:reentrancy_cross_function.transfer.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.transfer.1,containsAssignment,assign:reentrancy_cross_function.transfer.1.2,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_cross_function,hasFunction,function:reentrancy_cross_function.withdrawBalance,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.withdrawBalance,hasModifier,modifier:reentrancy_cross_function.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.withdrawBalance,containsStmt,stmt:reentrancy_cross_function.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.withdrawBalance,entryPointIs,stmt:reentrancy_cross_function.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.withdrawBalance,containsStmt,stmt:reentrancy_cross_function.withdrawBalance.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.withdrawBalance.1,hasNext,stmt:reentrancy_cross_function.withdrawBalance.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.withdrawBalance.2,containsCall,call:reentrancy_cross_function.withdrawBalance.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.withdrawBalance.2,containsCall,call:reentrancy_cross_function.withdrawBalance.2.2,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.withdrawBalance,containsStmt,stmt:reentrancy_cross_function.withdrawBalance.3,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.withdrawBalance.2,hasNext,stmt:reentrancy_cross_function.withdrawBalance.3,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.withdrawBalance.3,containsRequire,require:reentrancy_cross_function.withdrawBalance.3.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_cross_function.withdrawBalance,containsStmt,stmt:reentrancy_cross_function.withdrawBalance.4,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.withdrawBalance.3,hasNext,stmt:reentrancy_cross_function.withdrawBalance.4,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.withdrawBalance.4,containsAssignment,assign:reentrancy_cross_function.withdrawBalance.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_cross_function.transfer.1,readsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.transfer.1""}"
stateread:reentrancy_cross_function.transfer.1.1,targetsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.transfer.1""}"
statewrite:reentrancy_cross_function.transfer.2,targetsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""userBalances"", ""index"": ""to"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.transfer.2""}"
stateread:reentrancy_cross_function.transfer.2.1,targetsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""userBalances"", ""index"": ""to"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.transfer.2""}"
statewrite:reentrancy_cross_function.transfer.3,targetsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.transfer.3""}"
stateread:reentrancy_cross_function.transfer.3.1,targetsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.transfer.3""}"
stmt:reentrancy_cross_function.withdrawBalance.1,readsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.withdrawBalance.1""}"
stateread:reentrancy_cross_function.withdrawBalance.1.1,targetsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.withdrawBalance.1""}"
call:reentrancy_cross_function.withdrawBalance.2.1,callsExternal,externalcall:reentrancy_cross_function.withdrawBalance.2,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""amountToWithdraw"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.withdrawBalance.2""}"
stmt:reentrancy_cross_function.withdrawBalance.4,readsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.withdrawBalance.4""}"
stateread:reentrancy_cross_function.withdrawBalance.4.1,targetsStateVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_cross_function.withdrawBalance.4""}"
commit:reentrancy_cross_function.transfer.2,commitsVar,statevar:reentrancy_cross_function.userBalances,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""userBalances"", ""pre_version"": ""userBalances_1"", ""post_version"": ""userBalances_2"", ""evidence_ref"": ""raw_ssa:reentrancy_cross_function.transfer.2""}"
statewrite:reentrancy_cross_function.transfer.2,preStateVersion,version:reentrancy_cross_function.userBalances_1,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""userBalances"", ""pre_version"": ""userBalances_1"", ""post_version"": ""userBalances_2"", ""evidence_ref"": ""raw_ssa:reentrancy_cross_function.transfer.2""}"
statewrite:reentrancy_cross_function.transfer.2,postStateVersion,version:reentrancy_cross_function.userBalances_2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""userBalances"", ""pre_version"": ""userBalances_1"", ""post_version"": ""userBalances_2"", ""evidence_ref"": ""raw_ssa:reentrancy_cross_function.transfer.2""}"
statewrite:reentrancy_cross_function.transfer.2,commitsState,commit:reentrancy_cross_function.transfer.2,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 2, ""base_state_var"": ""userBalances"", ""pre_version"": ""userBalances_1"", ""post_version"": ""userBalances_2"", ""evidence_ref"": ""raw_ssa:reentrancy_cross_function.transfer.2""}"
