node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:reentrancy_cross_function,Contract,reentrancy_cross_function,reentrancy_cross_function.sol,reentrancy_cross_function,,9,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 68, ""src"": ""169:662:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Reentrancy_cross_function""}"
statevar:reentrancy_cross_function.userBalances,StateVar,userBalances,reentrancy_cross_function.sol,reentrancy_cross_function,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""227:46:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""private""}"
function:reentrancy_cross_function.transfer,Function,transfer,reentrancy_cross_function.sol,reentrancy_cross_function,transfer,14,19,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 34, ""src"": ""280:198:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrancy_cross_function""}"
modifier:reentrancy_cross_function.transfer.1,Modifier,modifier_1,reentrancy_cross_function.sol,reentrancy_cross_function,transfer,14,19,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_cross_function.transfer.1,Stmt,stmt_1,reentrancy_cross_function.sol,reentrancy_cross_function,transfer,15,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 32, ""src"": ""333:139:0"", ""stmt_kind"": ""IfStatement""}"
assign:reentrancy_cross_function.transfer.1.1,Assignment,assign_1_1,reentrancy_cross_function.sol,reentrancy_cross_function,transfer,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""387:26:0"", ""operator"": ""+="", ""type"": ""uint256""}"
assign:reentrancy_cross_function.transfer.1.2,Assignment,assign_1_2,reentrancy_cross_function.sol,reentrancy_cross_function,transfer,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""427:34:0"", ""operator"": ""-="", ""type"": ""uint256""}"
function:reentrancy_cross_function.withdrawBalance,Function,withdrawBalance,reentrancy_cross_function.sol,reentrancy_cross_function,withdrawBalance,21,27,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 67, ""src"": ""484:345:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrancy_cross_function""}"
modifier:reentrancy_cross_function.withdrawBalance.1,Modifier,modifier_1,reentrancy_cross_function.sol,reentrancy_cross_function,withdrawBalance,21,27,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_cross_function.withdrawBalance.1,Stmt,stmt_1,reentrancy_cross_function.sol,reentrancy_cross_function,withdrawBalance,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 43, ""src"": ""528:48:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
