src,relation,dst,extra_json
contract:reentrancy_dao,hasStateVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_dao,hasStateVar,statevar:reentrancy_dao.balance,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_dao,hasFunction,function:reentrancy_dao.withdrawAll,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_dao.withdrawAll,hasModifier,modifier:reentrancy_dao.withdrawAll.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_dao.withdrawAll,containsStmt,stmt:reentrancy_dao.withdrawAll.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_dao.withdrawAll,entryPointIs,stmt:reentrancy_dao.withdrawAll.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_dao.withdrawAll,containsStmt,stmt:reentrancy_dao.withdrawAll.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.withdrawAll.1,hasNext,stmt:reentrancy_dao.withdrawAll.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.withdrawAll.2,containsAssignment,assign:reentrancy_dao.withdrawAll.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.withdrawAll.2,containsAssignment,assign:reentrancy_dao.withdrawAll.2.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.withdrawAll.2,containsCall,call:reentrancy_dao.withdrawAll.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.withdrawAll.2,containsCall,call:reentrancy_dao.withdrawAll.2.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.withdrawAll.2,containsRequire,require:reentrancy_dao.withdrawAll.2.1,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_dao,hasFunction,function:reentrancy_dao.deposit,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_dao.deposit,hasModifier,modifier:reentrancy_dao.deposit.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_dao.deposit,containsStmt,stmt:reentrancy_dao.deposit.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_dao.deposit,entryPointIs,stmt:reentrancy_dao.deposit.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.deposit.1,containsAssignment,assign:reentrancy_dao.deposit.1.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_dao.deposit,containsStmt,stmt:reentrancy_dao.deposit.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.deposit.1,hasNext,stmt:reentrancy_dao.deposit.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.deposit.2,containsAssignment,assign:reentrancy_dao.deposit.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_dao.withdrawAll.1,readsStateVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""credit"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_dao.withdrawAll.1""}"
stateread:reentrancy_dao.withdrawAll.1.1,targetsStateVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""credit"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_dao.withdrawAll.1""}"
stateread:reentrancy_dao.withdrawAll.6.1,targetsStateVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 6, ""state_var"": ""credit"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_dao.withdrawAll.6""}"
assign:reentrancy_dao.deposit.1.1,writesStateVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""credit"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_dao.deposit.1""}"
statewrite:reentrancy_dao.deposit.1,targetsStateVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""credit"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_dao.deposit.1""}"
stmt:reentrancy_dao.deposit.1,readsStateVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""credit"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_dao.deposit.1""}"
stateread:reentrancy_dao.deposit.1.1,targetsStateVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""credit"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_dao.deposit.1""}"
commit:reentrancy_dao.deposit.1,commitsVar,statevar:reentrancy_dao.credit,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""credit"", ""pre_version"": ""credit_3"", ""post_version"": ""credit_4"", ""evidence_ref"": ""raw_ssa:reentrancy_dao.deposit.1""}"
statewrite:reentrancy_dao.deposit.1,preStateVersion,version:reentrancy_dao.credit_3,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""credit"", ""pre_version"": ""credit_3"", ""post_version"": ""credit_4"", ""evidence_ref"": ""raw_ssa:reentrancy_dao.deposit.1""}"
statewrite:reentrancy_dao.deposit.1,postStateVersion,version:reentrancy_dao.credit_4,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""credit"", ""pre_version"": ""credit_3"", ""post_version"": ""credit_4"", ""evidence_ref"": ""raw_ssa:reentrancy_dao.deposit.1""}"
statewrite:reentrancy_dao.deposit.1,commitsState,commit:reentrancy_dao.deposit.1,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""credit"", ""pre_version"": ""credit_3"", ""post_version"": ""credit_4"", ""evidence_ref"": ""raw_ssa:reentrancy_dao.deposit.1""}"
cfgentry:reentrancy_dao.reentrancy_dao.deposit,entryOf,function:reentrancy_dao.deposit,"{""_layers"": [""stage4_control""], ""function"": ""deposit()""}"
cfgexit:reentrancy_dao.reentrancy_dao.deposit,exitOf,function:reentrancy_dao.deposit,"{""_layers"": [""stage4_control""], ""function"": ""deposit()""}"
cfgnode:reentrancy_dao.reentrancy_dao.deposit.2,inFunction,function:reentrancy_dao.deposit,"{""_layers"": [""stage4_control""], ""function"": ""deposit()""}"
cfgnode:reentrancy_dao.reentrancy_dao.deposit.2,flowsToExit,cfgexit:reentrancy_dao.reentrancy_dao.deposit,"{""_layers"": [""stage4_control""], ""function"": ""deposit()""}"
cfgentry:reentrancy_dao.reentrancy_dao.withdrawAll,entryOf,function:reentrancy_dao.withdrawAll,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()""}"
cfgexit:reentrancy_dao.reentrancy_dao.withdrawAll,exitOf,function:reentrancy_dao.withdrawAll,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.2,inFunction,function:reentrancy_dao.withdrawAll,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.3,inFunction,function:reentrancy_dao.withdrawAll,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.4,inFunction,function:reentrancy_dao.withdrawAll,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.5,inFunction,function:reentrancy_dao.withdrawAll,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.7,inFunction,function:reentrancy_dao.withdrawAll,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.2,branchTo,cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.3,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()"", ""dot_edge_attrs"": {""label"": ""True""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_dao\\cfg__reentrancy_dao.sol-ReentrancyDAO-withdrawAll().dot""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.2,branchTo,cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.7,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()"", ""dot_edge_attrs"": {""label"": ""False""}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_dao\\cfg__reentrancy_dao.sol-ReentrancyDAO-withdrawAll().dot""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.3,nextBlock,cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.4,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_dao\\cfg__reentrancy_dao.sol-ReentrancyDAO-withdrawAll().dot""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.4,nextBlock,cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.5,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_dao\\cfg__reentrancy_dao.sol-ReentrancyDAO-withdrawAll().dot""}"
cfgnode:reentrancy_dao.reentrancy_dao.withdrawAll.7,flowsToExit,cfgexit:reentrancy_dao.reentrancy_dao.withdrawAll,"{""_layers"": [""stage4_control""], ""function"": ""withdrawAll()""}"
function:reentrancy_dao.withdrawAll,callsBuiltin,builtin:require(bool),"{""_layers"": [""stage4_control""], ""src_label"": ""withdrawAll"", ""dst_label"": ""require(bool)"", ""callgraph_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_dao\\call-graph__reentrancy_dao.sol.ReentrancyDAO.call-graph.dot""}"
