node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:reentrancy_dao,Contract,reentrancy_dao,reentrancy_dao.sol,reentrancy_dao,,9,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 66, ""src"": ""159:530:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""ReentrancyDAO""}"
statevar:reentrancy_dao.credit,StateVar,credit,reentrancy_dao.sol,reentrancy_dao,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""188:32:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
statevar:reentrancy_dao.balance,StateVar,balance,reentrancy_dao.sol,reentrancy_dao,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 7, ""src"": ""226:12:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
function:reentrancy_dao.withdrawAll,Function,withdrawAll,reentrancy_dao.sol,reentrancy_dao,withdrawAll,13,22,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 48, ""src"": ""245:324:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ReentrancyDAO""}"
modifier:reentrancy_dao.withdrawAll.1,Modifier,modifier_1,reentrancy_dao.sol,reentrancy_dao,withdrawAll,13,22,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_dao.withdrawAll.1,Stmt,stmt_1,reentrancy_dao.sol,reentrancy_dao,withdrawAll,14,14,"{""_layers"": [""stage1_ast""], ""ast_id"": 16, ""src"": ""285:33:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:reentrancy_dao.withdrawAll.2,Stmt,stmt_2,reentrancy_dao.sol,reentrancy_dao,withdrawAll,15,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 46, ""src"": ""328:235:0"", ""stmt_kind"": ""IfStatement""}"
assign:reentrancy_dao.withdrawAll.2.1,Assignment,assign_2_1,reentrancy_dao.sol,reentrancy_dao,withdrawAll,16,16,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""359:18:0"", ""operator"": ""-="", ""type"": ""uint256""}"
assign:reentrancy_dao.withdrawAll.2.2,Assignment,assign_2_2,reentrancy_dao.sol,reentrancy_dao,withdrawAll,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 43, ""src"": ""530:22:0"", ""operator"": ""="", ""type"": ""uint256""}"
call:reentrancy_dao.withdrawAll.2.1,FunctionCall,call,reentrancy_dao.sol,reentrancy_dao,withdrawAll,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 32, ""src"": ""450:32:0""}"
