src,relation,dst,extra_json
contract:reentrancy_insecure,hasStateVar,statevar:reentrancy_insecure.userBalances,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_insecure,hasFunction,function:reentrancy_insecure.withdrawBalance,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_insecure.withdrawBalance,hasModifier,modifier:reentrancy_insecure.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_insecure.withdrawBalance,containsStmt,stmt:reentrancy_insecure.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_insecure.withdrawBalance,entryPointIs,stmt:reentrancy_insecure.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_insecure.withdrawBalance,containsStmt,stmt:reentrancy_insecure.withdrawBalance.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_insecure.withdrawBalance.1,hasNext,stmt:reentrancy_insecure.withdrawBalance.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_insecure.withdrawBalance.2,containsCall,call:reentrancy_insecure.withdrawBalance.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_insecure.withdrawBalance.2,containsCall,call:reentrancy_insecure.withdrawBalance.2.2,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_insecure.withdrawBalance,containsStmt,stmt:reentrancy_insecure.withdrawBalance.3,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_insecure.withdrawBalance.2,hasNext,stmt:reentrancy_insecure.withdrawBalance.3,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_insecure.withdrawBalance.3,containsRequire,require:reentrancy_insecure.withdrawBalance.3.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_insecure.withdrawBalance,containsStmt,stmt:reentrancy_insecure.withdrawBalance.4,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_insecure.withdrawBalance.3,hasNext,stmt:reentrancy_insecure.withdrawBalance.4,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_insecure.withdrawBalance.4,containsAssignment,assign:reentrancy_insecure.withdrawBalance.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_insecure.withdrawBalance.1,readsStateVar,statevar:reentrancy_insecure.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_insecure.withdrawBalance.1""}"
stateread:reentrancy_insecure.withdrawBalance.1.1,targetsStateVar,statevar:reentrancy_insecure.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_insecure.withdrawBalance.1""}"
stmt:reentrancy_insecure.withdrawBalance.3,callsExternal,externalcall:reentrancy_insecure.withdrawBalance.3,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""amountToWithdraw"", ""evidence_ref"": ""raw_ir:reentrancy_insecure.withdrawBalance.3""}"
stateread:reentrancy_insecure.withdrawBalance.5.1,targetsStateVar,statevar:reentrancy_insecure.userBalances,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_insecure.withdrawBalance.5""}"
cfgentry:reentrancy_insecure.reentrancy_insecure.withdrawBalance,entryOf,function:reentrancy_insecure.withdrawBalance,"{""_layers"": [""stage4_control""], ""function"": ""withdrawBalance()""}"
cfgexit:reentrancy_insecure.reentrancy_insecure.withdrawBalance,exitOf,function:reentrancy_insecure.withdrawBalance,"{""_layers"": [""stage4_control""], ""function"": ""withdrawBalance()""}"
cfgnode:reentrancy_insecure.reentrancy_insecure.withdrawBalance.2,inFunction,function:reentrancy_insecure.withdrawBalance,"{""_layers"": [""stage4_control""], ""function"": ""withdrawBalance()""}"
cfgnode:reentrancy_insecure.reentrancy_insecure.withdrawBalance.3,inFunction,function:reentrancy_insecure.withdrawBalance,"{""_layers"": [""stage4_control""], ""function"": ""withdrawBalance()""}"
cfgnode:reentrancy_insecure.reentrancy_insecure.withdrawBalance.4,inFunction,function:reentrancy_insecure.withdrawBalance,"{""_layers"": [""stage4_control""], ""function"": ""withdrawBalance()""}"
cfgnode:reentrancy_insecure.reentrancy_insecure.withdrawBalance.2,nextBlock,cfgnode:reentrancy_insecure.reentrancy_insecure.withdrawBalance.3,"{""_layers"": [""stage4_control""], ""function"": ""withdrawBalance()"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_insecure\\cfg__reentrancy_insecure.sol-Reentrancy_insecure-withdrawBalance().dot""}"
cfgnode:reentrancy_insecure.reentrancy_insecure.withdrawBalance.3,nextBlock,cfgnode:reentrancy_insecure.reentrancy_insecure.withdrawBalance.4,"{""_layers"": [""stage4_control""], ""function"": ""withdrawBalance()"", ""dot_edge_attrs"": {}, ""cfg_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_insecure\\cfg__reentrancy_insecure.sol-Reentrancy_insecure-withdrawBalance().dot""}"
function:reentrancy_insecure.withdrawBalance,callsBuiltin,builtin:require(bool),"{""_layers"": [""stage4_control""], ""src_label"": ""withdrawBalance"", ""dst_label"": ""require(bool)"", ""callgraph_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_insecure\\call-graph__reentrancy_insecure.sol.Reentrancy_insecure.call-graph.dot""}"
