node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:reentrancy_insecure,Contract,reentrancy_insecure,reentrancy_insecure.sol,reentrancy_insecure,,9,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 39, ""src"": ""168:463:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Reentrancy_insecure""}"
statevar:reentrancy_insecure.userBalances,StateVar,userBalances,reentrancy_insecure.sol,reentrancy_insecure,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""220:46:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""private""}"
function:reentrancy_insecure.withdrawBalance,Function,withdrawBalance,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,14,20,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 38, ""src"": ""273:356:0"", ""kind"": ""function"", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrancy_insecure""}"
modifier:reentrancy_insecure.withdrawBalance.1,Modifier,modifier_1,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,14,20,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_insecure.withdrawBalance.1,Stmt,stmt_1,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,15,15,"{""_layers"": [""stage1_ast""], ""ast_id"": 14, ""src"": ""317:48:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
stmt:reentrancy_insecure.withdrawBalance.2,Stmt,stmt_2,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 25, ""src"": ""412:62:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
call:reentrancy_insecure.withdrawBalance.2.1,FunctionCall,call,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 24, ""src"": ""431:43:0""}"
call:reentrancy_insecure.withdrawBalance.2.2,FunctionCall,value,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""431:39:0""}"
stmt:reentrancy_insecure.withdrawBalance.3,Stmt,stmt_3,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 29, ""src"": ""568:16:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:reentrancy_insecure.withdrawBalance.3.1,Require,require,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,18,18,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""568:16:0""}"
stmt:reentrancy_insecure.withdrawBalance.4,Stmt,stmt_4,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 36, ""src"": ""594:28:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:reentrancy_insecure.withdrawBalance.4.1,Assignment,assign_4_1,reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 35, ""src"": ""594:28:0"", ""operator"": ""="", ""type"": ""uint256""}"
stateread:reentrancy_insecure.withdrawBalance.1.1,StateRead,userBalances,reentrancy_insecure.sol,Reentrancy_insecure,withdrawBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_insecure.withdrawBalance.1""}"
externalcall:reentrancy_insecure.withdrawBalance.3,ExternalCall,low_level_call,reentrancy_insecure.sol,Reentrancy_insecure,withdrawBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 3, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""amountToWithdraw"", ""evidence_ref"": ""raw_ir:reentrancy_insecure.withdrawBalance.3""}"
stateread:reentrancy_insecure.withdrawBalance.5.1,StateRead,userBalances,reentrancy_insecure.sol,Reentrancy_insecure,withdrawBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 5, ""state_var"": ""userBalances"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_insecure.withdrawBalance.5""}"
version:reentrancy_insecure.userBalances_0,VersionedState,userBalances_0,reentrancy_insecure.sol,Reentrancy_insecure,withdrawBalance,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userBalances_0"", ""base_state_var"": ""userBalances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_insecure.withdrawBalance.0""}"
version:reentrancy_insecure.userBalances_1,VersionedState,userBalances_1,reentrancy_insecure.sol,Reentrancy_insecure,withdrawBalance,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userBalances_1"", ""base_state_var"": ""userBalances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_insecure.withdrawBalance.0""}"
version:reentrancy_insecure.userBalances_2,VersionedState,userBalances_2,reentrancy_insecure.sol,Reentrancy_insecure,withdrawBalance,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userBalances_2"", ""base_state_var"": ""userBalances"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_insecure.withdrawBalance.0""}"
cfgentry:reentrancy_insecure.reentrancy_insecure.withdrawBalance,CFGEntry,withdrawBalance(),reentrancy_insecure.sol,reentrancy_insecure,withdrawBalance,,,"{""_layers"": [""stage4_control""], ""function_ref"": ""function:reentrancy_insecure.withdrawBalance"", ""dot_file"": ""D:\\learning\\MSPE-CKG\\graph_output\\reentrancy_insecure\\cfg__reentrancy_insecure.sol-Reentrancy_insecure-withdrawBalance().dot"", ""actual_contract_name"": ""Reentrancy_insecure""}"
