src,relation,dst,extra_json
contract:reentrancy_simple,hasStateVar,statevar:reentrancy_simple.userBalance,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_simple,hasFunction,function:reentrancy_simple.getBalance,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.getBalance,hasModifier,modifier:reentrancy_simple.getBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.getBalance,containsStmt,stmt:reentrancy_simple.getBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.getBalance,entryPointIs,stmt:reentrancy_simple.getBalance.1,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_simple,hasFunction,function:reentrancy_simple.addToBalance,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.addToBalance,hasModifier,modifier:reentrancy_simple.addToBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.addToBalance,containsStmt,stmt:reentrancy_simple.addToBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.addToBalance,entryPointIs,stmt:reentrancy_simple.addToBalance.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_simple.addToBalance.1,containsAssignment,assign:reentrancy_simple.addToBalance.1.1,"{""_layers"": [""stage1_ast""]}"
contract:reentrancy_simple,hasFunction,function:reentrancy_simple.withdrawBalance,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.withdrawBalance,hasModifier,modifier:reentrancy_simple.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.withdrawBalance,containsStmt,stmt:reentrancy_simple.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.withdrawBalance,entryPointIs,stmt:reentrancy_simple.withdrawBalance.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_simple.withdrawBalance.1,containsCall,call:reentrancy_simple.withdrawBalance.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_simple.withdrawBalance.1,containsCall,call:reentrancy_simple.withdrawBalance.1.2,"{""_layers"": [""stage1_ast""]}"
function:reentrancy_simple.withdrawBalance,containsStmt,stmt:reentrancy_simple.withdrawBalance.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_simple.withdrawBalance.1,hasNext,stmt:reentrancy_simple.withdrawBalance.2,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_simple.withdrawBalance.2,containsAssignment,assign:reentrancy_simple.withdrawBalance.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:reentrancy_simple.getBalance.1,readsStateVar,statevar:reentrancy_simple.userBalance,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""u"", ""evidence_ref"": ""raw_ir:reentrancy_simple.getBalance.1""}"
stateread:reentrancy_simple.getBalance.1.1,targetsStateVar,statevar:reentrancy_simple.userBalance,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""u"", ""evidence_ref"": ""raw_ir:reentrancy_simple.getBalance.1""}"
assign:reentrancy_simple.addToBalance.1.1,writesStateVar,statevar:reentrancy_simple.userBalance,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_simple.addToBalance.1""}"
statewrite:reentrancy_simple.addToBalance.1,targetsStateVar,statevar:reentrancy_simple.userBalance,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_simple.addToBalance.1""}"
stmt:reentrancy_simple.addToBalance.1,readsStateVar,statevar:reentrancy_simple.userBalance,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_simple.addToBalance.1""}"
stateread:reentrancy_simple.addToBalance.1.1,targetsStateVar,statevar:reentrancy_simple.userBalance,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_simple.addToBalance.1""}"
call:reentrancy_simple.withdrawBalance.1.1,callsExternal,externalcall:reentrancy_simple.withdrawBalance.1,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""REF_4"", ""evidence_ref"": ""raw_ir:reentrancy_simple.withdrawBalance.1""}"
