node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:reentrancy_simple,Contract,reentrancy_simple,reentrancy_simple.sol,reentrancy_simple,,9,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 56, ""src"": ""182:617:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""Reentrance""}"
statevar:reentrancy_simple.userBalance,StateVar,userBalance,reentrancy_simple.sol,reentrancy_simple,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 5, ""src"": ""209:37:0"", ""type"": ""mapping(address => uint256)"", ""visibility"": ""internal""}"
function:reentrancy_simple.getBalance,Function,getBalance,reentrancy_simple.sol,reentrancy_simple,getBalance,12,14,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 17, ""src"": ""254:93:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""view"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrance""}"
modifier:reentrancy_simple.getBalance.1,Modifier,modifier_1,reentrancy_simple.sol,reentrancy_simple,getBalance,12,14,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_simple.getBalance.1,Stmt,stmt_1,reentrancy_simple.sol,reentrancy_simple,getBalance,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 15, ""src"": ""318:21:0"", ""stmt_kind"": ""Return""}"
function:reentrancy_simple.addToBalance,Function,addToBalance,reentrancy_simple.sol,reentrancy_simple,addToBalance,16,18,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 29, ""src"": ""354:86:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrance""}"
modifier:reentrancy_simple.addToBalance.1,Modifier,modifier_1,reentrancy_simple.sol,reentrancy_simple,addToBalance,16,18,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_simple.addToBalance.1,Stmt,stmt_1,reentrancy_simple.sol,reentrancy_simple,addToBalance,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 27, ""src"": ""396:36:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:reentrancy_simple.addToBalance.1.1,Assignment,assign_1_1,reentrancy_simple.sol,reentrancy_simple,addToBalance,17,17,"{""_layers"": [""stage1_ast""], ""ast_id"": 26, ""src"": ""396:36:0"", ""operator"": ""+="", ""type"": ""uint256""}"
function:reentrancy_simple.withdrawBalance,Function,withdrawBalance,reentrancy_simple.sol,reentrancy_simple,withdrawBalance,20,28,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 55, ""src"": ""447:349:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""Reentrance""}"
modifier:reentrancy_simple.withdrawBalance.1,Modifier,modifier_1,reentrancy_simple.sol,reentrancy_simple,withdrawBalance,20,28,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:reentrancy_simple.withdrawBalance.1,Stmt,stmt_1,reentrancy_simple.sol,reentrancy_simple,withdrawBalance,24,26,"{""_layers"": [""stage1_ast""], ""ast_id"": 46, ""src"": ""660:91:0"", ""stmt_kind"": ""IfStatement""}"
call:reentrancy_simple.withdrawBalance.1.1,FunctionCall,call,reentrancy_simple.sol,reentrancy_simple,withdrawBalance,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 41, ""src"": ""667:48:0""}"
call:reentrancy_simple.withdrawBalance.1.2,FunctionCall,value,reentrancy_simple.sol,reentrancy_simple,withdrawBalance,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 40, ""src"": ""667:46:0""}"
stmt:reentrancy_simple.withdrawBalance.2,Stmt,stmt_2,reentrancy_simple.sol,reentrancy_simple,withdrawBalance,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 53, ""src"": ""761:27:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:reentrancy_simple.withdrawBalance.2.1,Assignment,assign_2_1,reentrancy_simple.sol,reentrancy_simple,withdrawBalance,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 52, ""src"": ""761:27:0"", ""operator"": ""="", ""type"": ""uint256""}"
stateread:reentrancy_simple.getBalance.1.1,StateRead,userBalance,reentrancy_simple.sol,Reentrance,getBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""u"", ""evidence_ref"": ""raw_ir:reentrancy_simple.getBalance.1""}"
statewrite:reentrancy_simple.addToBalance.1,StateWrite,userBalance,reentrancy_simple.sol,Reentrance,addToBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_simple.addToBalance.1""}"
stateread:reentrancy_simple.addToBalance.1.1,StateRead,userBalance,reentrancy_simple.sol,Reentrance,addToBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_simple.addToBalance.1""}"
externalcall:reentrancy_simple.withdrawBalance.1,ExternalCall,low_level_call,reentrancy_simple.sol,Reentrance,withdrawBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""call_kind"": ""LOW_LEVEL_CALL"", ""dest"": ""msg.sender"", ""function"": ""call"", ""value"": ""REF_4"", ""evidence_ref"": ""raw_ir:reentrancy_simple.withdrawBalance.1""}"
stateread:reentrancy_simple.withdrawBalance.1.1,StateRead,userBalance,reentrancy_simple.sol,Reentrance,withdrawBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 1, ""state_var"": ""userBalance"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_simple.withdrawBalance.1""}"
stateread:reentrancy_simple.withdrawBalance.4.1,StateRead,userBalance,reentrancy_simple.sol,Reentrance,withdrawBalance,,,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 4, ""state_var"": ""userBalance"", ""index"": ""msg.sender"", ""evidence_ref"": ""raw_ir:reentrancy_simple.withdrawBalance.4""}"
version:reentrancy_simple.userBalance_0,VersionedState,userBalance_0,reentrancy_simple.sol,Reentrance,getBalance,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userBalance_0"", ""base_state_var"": ""userBalance"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_simple.getBalance.0""}"
version:reentrancy_simple.userBalance_1,VersionedState,userBalance_1,reentrancy_simple.sol,Reentrance,getBalance,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userBalance_1"", ""base_state_var"": ""userBalance"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_simple.getBalance.0""}"
version:reentrancy_simple.userBalance_3,VersionedState,userBalance_3,reentrancy_simple.sol,Reentrance,getBalance,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userBalance_3"", ""base_state_var"": ""userBalance"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_simple.getBalance.0""}"
version:reentrancy_simple.userBalance_6,VersionedState,userBalance_6,reentrancy_simple.sol,Reentrance,getBalance,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userBalance_6"", ""base_state_var"": ""userBalance"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_simple.getBalance.0""}"
version:reentrancy_simple.userBalance_2,VersionedState,userBalance_2,reentrancy_simple.sol,Reentrance,addToBalance,,,"{""_layers"": [""stage3_ssa""], ""version_name"": ""userBalance_2"", ""base_state_var"": ""userBalance"", ""ssa_stmt_index"": 0, ""evidence_ref"": ""raw_ssa:reentrancy_simple.addToBalance.0""}"
commit:reentrancy_simple.addToBalance.1,CommitPoint,commit_1,reentrancy_simple.sol,Reentrance,addToBalance,,,"{""_layers"": [""stage3_ssa""], ""ssa_stmt_index"": 1, ""base_state_var"": ""userBalance"", ""pre_version"": ""userBalance_2"", ""post_version"": ""userBalance_3"", ""evidence_ref"": ""raw_ssa:reentrancy_simple.addToBalance.1""}"
