src,relation,dst,extra_json
contract:0x000000000000541e251335090ac5b47176af4f7e,hasStateVar,statevar:0x000000000000541e251335090ac5b47176af4f7e.settlementModuleAddress,"{""_layers"": [""stage1_ast""]}"
contract:0x000000000000541e251335090ac5b47176af4f7e,hasStateVar,statevar:0x000000000000541e251335090ac5b47176af4f7e.wrappedEtherContract,"{""_layers"": [""stage1_ast""]}"
contract:0x000000000000541e251335090ac5b47176af4f7e,hasStateVar,statevar:0x000000000000541e251335090ac5b47176af4f7e.gas_token_nonce_head,"{""_layers"": [""stage1_ast""]}"
contract:0x000000000000541e251335090ac5b47176af4f7e,hasStateVar,statevar:0x000000000000541e251335090ac5b47176af4f7e.gas_token_nonce_tail,"{""_layers"": [""stage1_ast""]}"
contract:0x000000000000541e251335090ac5b47176af4f7e,hasFunction,function:0x000000000000541e251335090ac5b47176af4f7e.depositEther,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositEther,hasModifier,modifier:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositEther,containsStmt,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositEther,entryPointIs,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1,containsAssignment,assign:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositEther,containsStmt,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1,hasNext,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2.2,"{""_layers"": [""stage1_ast""]}"
contract:0x000000000000541e251335090ac5b47176af4f7e,hasFunction,function:0x000000000000541e251335090ac5b47176af4f7e.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.constructor,hasModifier,modifier:0x000000000000541e251335090ac5b47176af4f7e.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.constructor,containsStmt,stmt:0x000000000000541e251335090ac5b47176af4f7e.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.constructor,entryPointIs,stmt:0x000000000000541e251335090ac5b47176af4f7e.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.constructor.1,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x000000000000541e251335090ac5b47176af4f7e,hasFunction,function:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther,hasModifier,modifier:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther,containsStmt,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther,entryPointIs,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1.3,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther,containsStmt,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,hasNext,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2,containsRequire,require:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther,containsStmt,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2,hasNext,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.3,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.3.1,"{""_layers"": [""stage1_ast""]}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther,containsStmt,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.3,hasNext,stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4,containsCall,call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4.2,"{""_layers"": [""stage1_ast""]}"
