node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x000000000000541e251335090ac5b47176af4f7e,Contract,0x000000000000541e251335090ac5b47176af4f7e,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,,1448,2624,"{""_layers"": [""stage1_ast""], ""ast_id"": 6907, ""src"": ""80189:61472:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""dexBlue""}"
statevar:0x000000000000541e251335090ac5b47176af4f7e.settlementModuleAddress,StateVar,settlementModuleAddress,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,,1450,1450,"{""_layers"": [""stage1_ast""], ""ast_id"": 3985, ""src"": ""80318:85:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x000000000000541e251335090ac5b47176af4f7e.wrappedEtherContract,StateVar,wrappedEtherContract,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,,1472,1472,"{""_layers"": [""stage1_ast""], ""ast_id"": 4027, ""src"": ""81304:82:0"", ""type"": ""address"", ""visibility"": ""internal""}"
statevar:0x000000000000541e251335090ac5b47176af4f7e.gas_token_nonce_head,StateVar,gas_token_nonce_head,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,,2297,2297,"{""_layers"": [""stage1_ast""], ""ast_id"": 6153, ""src"": ""128228:28:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0x000000000000541e251335090ac5b47176af4f7e.gas_token_nonce_tail,StateVar,gas_token_nonce_tail,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,,2298,2298,"{""_layers"": [""stage1_ast""], ""ast_id"": 6155, ""src"": ""128262:28:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositEther,Function,depositEther,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositEther,1456,1459,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 4011, ""src"": ""80501:243:0"", ""kind"": ""function"", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""dexBlue""}"
modifier:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1,Modifier,modifier_1,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositEther,1456,1459,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1,Stmt,stmt_1,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositEther,1457,1457,"{""_layers"": [""stage1_ast""], ""ast_id"": 3999, ""src"": ""80549:45:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1.1,Assignment,assign_1_1,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositEther,1457,1457,"{""_layers"": [""stage1_ast""], ""ast_id"": 3998, ""src"": ""80549:45:0"", ""operator"": ""+="", ""type"": ""uint256""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositEther.1.1,FunctionCall,call,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositEther,1457,1457,"{""_layers"": [""stage1_ast""], ""ast_id"": 3991, ""src"": ""80558:10:0""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2,Stmt,stmt_2,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositEther,1458,1458,"{""_layers"": [""stage1_ast""], ""ast_id"": 4009, ""src"": ""80658:50:0"", ""stmt_kind"": ""EmitStatement""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2.1,FunctionCall,LogDeposit,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositEther,1458,1458,"{""_layers"": [""stage1_ast""], ""ast_id"": 4008, ""src"": ""80663:45:0""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositEther.2.2,FunctionCall,call,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositEther,1458,1458,"{""_layers"": [""stage1_ast""], ""ast_id"": 4005, ""src"": ""80686:10:0""}"
function:0x000000000000541e251335090ac5b47176af4f7e.constructor,Function,constructor,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,constructor,1463,1467,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 4024, ""src"": ""80846:290:0"", ""kind"": ""fallback"", ""visibility"": ""external"", ""stateMutability"": ""payable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""dexBlue""}"
modifier:0x000000000000541e251335090ac5b47176af4f7e.constructor.1,Modifier,modifier_1,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,constructor,1463,1467,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.constructor.1,Stmt,stmt_1,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,constructor,1464,1466,"{""_layers"": [""stage1_ast""], ""ast_id"": 4022, ""src"": ""80883:247:0"", ""stmt_kind"": ""IfStatement""}"
call:0x000000000000541e251335090ac5b47176af4f7e.constructor.1.1,FunctionCall,depositEther,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,constructor,1465,1465,"{""_layers"": [""stage1_ast""], ""ast_id"": 4019, ""src"": ""81021:14:0""}"
function:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther,Function,depositWrappedEther,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1473,1491,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 4096, ""src"": ""81486:1014:0"", ""kind"": ""function"", ""visibility"": ""external"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""dexBlue""}"
modifier:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,Modifier,modifier_1,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1473,1491,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1,Stmt,stmt_1,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1475,1475,"{""_layers"": [""stage1_ast""], ""ast_id"": 4043, ""src"": ""81559:75:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1.1,FunctionCall,transferFrom,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1475,1475,"{""_layers"": [""stage1_ast""], ""ast_id"": 4042, ""src"": ""81559:75:0""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1.2,FunctionCall,Token,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1475,1475,"{""_layers"": [""stage1_ast""], ""ast_id"": 4034, ""src"": ""81559:27:0""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.1.3,FunctionCall,call,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1475,1475,"{""_layers"": [""stage1_ast""], ""ast_id"": 4040, ""src"": ""81612:13:0""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2,Stmt,stmt_2,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1477,1480,"{""_layers"": [""stage1_ast""], ""ast_id"": 4049, ""src"": ""81690:190:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2.1,Require,require,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1477,1480,"{""_layers"": [""stage1_ast""], ""ast_id"": 4048, ""src"": ""81690:190:0""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.2.1,FunctionCall,checkERC20TransferSuccess,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1478,1478,"{""_layers"": [""stage1_ast""], ""ast_id"": 4046, ""src"": ""81711:27:0""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.3,Stmt,stmt_3,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1482,1482,"{""_layers"": [""stage1_ast""], ""ast_id"": 4056, ""src"": ""81899:42:0"", ""stmt_kind"": ""VariableDeclarationStatement""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.3.1,FunctionCall,call,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1482,1482,"{""_layers"": [""stage1_ast""], ""ast_id"": 4054, ""src"": ""81920:13:0""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4,Stmt,stmt_4,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1484,1484,"{""_layers"": [""stage1_ast""], ""ast_id"": 4063, ""src"": ""82028:43:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4.1,FunctionCall,withdraw,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1484,1484,"{""_layers"": [""stage1_ast""], ""ast_id"": 4062, ""src"": ""82028:43:0""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.4.2,FunctionCall,WETH,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1484,1484,"{""_layers"": [""stage1_ast""], ""ast_id"": 4059, ""src"": ""82028:26:0""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.5,Stmt,stmt_5,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1486,1486,"{""_layers"": [""stage1_ast""], ""ast_id"": 4074, ""src"": ""82136:56:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.5.1,Require,require,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1486,1486,"{""_layers"": [""stage1_ast""], ""ast_id"": 4073, ""src"": ""82136:56:0""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.5.1,FunctionCall,call,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1486,1486,"{""_layers"": [""stage1_ast""], ""ast_id"": 4070, ""src"": ""82170:13:0""}"
stmt:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.6,Stmt,stmt_6,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1488,1488,"{""_layers"": [""stage1_ast""], ""ast_id"": 4085, ""src"": ""82264:42:0"", ""stmt_kind"": ""ExpressionStatement""}"
assign:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.6.1,Assignment,assign_6_1,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1488,1488,"{""_layers"": [""stage1_ast""], ""ast_id"": 4084, ""src"": ""82264:42:0"", ""operator"": ""+="", ""type"": ""uint256""}"
call:0x000000000000541e251335090ac5b47176af4f7e.depositWrappedEther.6.1,FunctionCall,call,0x000000000000541e251335090ac5b47176af4f7e.sol,0x000000000000541e251335090ac5b47176af4f7e,depositWrappedEther,1488,1488,"{""_layers"": [""stage1_ast""], ""ast_id"": 4078, ""src"": ""82273:10:0""}"
