src,relation,dst,extra_json
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.name,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.symbol,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.prob,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.comment,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.playerPool,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.maincontract,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.burncontract,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.tokenReward,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.rounds,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.quota,"{""_layers"": [""stage1_ast""]}"
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,hasFunction,function:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor,hasModifier,modifier:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor,containsStmt,stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor,entryPointIs,stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1,containsRequire,require:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor,containsStmt,stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1,hasNext,stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.2,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor,containsStmt,stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.2,hasNext,stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsAssignment,assign:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsAssignment,assign:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.6,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.7,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.8,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.9,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.10,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.11,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.12,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.13,"{""_layers"": [""stage1_ast""]}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3,containsCall,call:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.3.14,"{""_layers"": [""stage1_ast""]}"
stateread:0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.2.1,targetsStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.playerPool,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 2, ""state_var"": ""playerPool"", ""index"": ""TMP_3"", ""evidence_ref"": ""raw_ir:0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.2""}"
stateread:0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.7.1,targetsStateVar,statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.playerPool,"{""_layers"": [""stage2_ir""], ""ir_stmt_index"": 7, ""state_var"": ""playerPool"", ""index"": ""winidx"", ""evidence_ref"": ""raw_ir:0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.7""}"
cfgentry:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,entryOf,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgexit:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,exitOf,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.1,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.4,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.5,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.6,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.8,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.9,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.10,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.11,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.12,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.13,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
cfgnode:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback.14,inFunction,functionref:0x0608d0d987ca8371af38fa0b6e028760110b987e.0x0608d0d987ca8371af38fa0b6e028760110b987e.fallback,"{""_layers"": [""stage4_control""], ""function"": ""fallback()""}"
