node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x0608d0d987ca8371af38fa0b6e028760110b987e,Contract,0x0608d0d987ca8371af38fa0b6e028760110b987e,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,8,45,"{""_layers"": [""stage1_ast""], ""ast_id"": 195, ""src"": ""195:1857:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""DeflatLottoBurn""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.name,StateVar,name,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,10,10,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""225:42:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.symbol,StateVar,symbol,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,11,11,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""271:31:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.prob,StateVar,prob,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,12,12,"{""_layers"": [""stage1_ast""], ""ast_id"": 25, ""src"": ""306:42:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.comment,StateVar,comment,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,13,13,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""352:153:0"", ""type"": ""string"", ""visibility"": ""public""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.playerPool,StateVar,playerPool,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,19,19,"{""_layers"": [""stage1_ast""], ""ast_id"": 31, ""src"": ""778:29:0"", ""type"": ""address[]"", ""visibility"": ""internal""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.maincontract,StateVar,maincontract,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,20,20,"{""_layers"": [""stage1_ast""], ""ast_id"": 36, ""src"": ""811:81:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.burncontract,StateVar,burncontract,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,21,21,"{""_layers"": [""stage1_ast""], ""ast_id"": 41, ""src"": ""920:81:0"", ""type"": ""address"", ""visibility"": ""public""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.tokenReward,StateVar,tokenReward,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,22,22,"{""_layers"": [""stage1_ast""], ""ast_id"": 46, ""src"": ""1032:76:0"", ""type"": ""contract token"", ""visibility"": ""public""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.rounds,StateVar,rounds,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,23,23,"{""_layers"": [""stage1_ast""], ""ast_id"": 49, ""src"": ""1136:16:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
statevar:0x0608d0d987ca8371af38fa0b6e028760110b987e.quota,StateVar,quota,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,,24,24,"{""_layers"": [""stage1_ast""], ""ast_id"": 52, ""src"": ""1156:24:0"", ""type"": ""uint256"", ""visibility"": ""internal""}"
function:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor,Function,constructor,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,constructor,26,44,"{""_layers"": [""stage1_ast""], ""ast_id"": 194, ""src"": ""1241:809:0"", ""kind"": """", ""visibility"": ""public"", ""stateMutability"": ""payable"", ""implemented"": true}"
modifier:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1,Modifier,modifier_1,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,constructor,26,44,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1,Stmt,stmt_1,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,constructor,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 69, ""src"": ""1274:27:0"", ""stmt_kind"": ""ExpressionStatement""}"
require:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.1.1,Require,require,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,constructor,27,27,"{""_layers"": [""stage1_ast""], ""ast_id"": 68, ""src"": ""1274:27:0""}"
stmt:0x0608d0d987ca8371af38fa0b6e028760110b987e.constructor.2,Stmt,stmt_2,0x0608d0d987ca8371af38fa0b6e028760110b987e.sol,0x0608d0d987ca8371af38fa0b6e028760110b987e,constructor,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 76, ""src"": ""1307:27:0"", ""stmt_kind"": ""ExpressionStatement""}"
