src,relation,dst,extra_json
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasStateVar,statevar:0x0c6139206f995d160edb00422a5ac819bc94295e.DaiContract,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasStateVar,statevar:0x0c6139206f995d160edb00422a5ac819bc94295e.UniswapContract,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasStateVar,statevar:0x0c6139206f995d160edb00422a5ac819bc94295e.deposits,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasFunction,function:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor,hasModifier,modifier:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor,entryPointIs,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1,hasNext,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.2,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.2,hasNext,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3.2,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasFunction,function:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai,entryPointIs,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai.1,containsAssignment,assign:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasFunction,function:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap,entryPointIs,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap.1,containsAssignment,assign:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.initUniswap.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasFunction,function:0x0c6139206f995d160edb00422a5ac819bc94295e.setAllowance,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.setAllowance,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.setAllowance.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.setAllowance,entryPointIs,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.setAllowance.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.setAllowance.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.setAllowance.1.1,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasFunction,function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput,hasModifier,modifier:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput,entryPointIs,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1.3,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.1,hasNext,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.2,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.2,hasNext,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.3,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.3.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.3,hasNext,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.4,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.4,containsAssignment,assign:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.4.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.4,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.4.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.4,hasNext,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.5,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.5,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositOutput.5.1,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasFunction,function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput,hasModifier,modifier:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput,entryPointIs,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1.3,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.1,hasNext,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.2,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.2,containsAssignment,assign:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.2.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.2,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.2.1,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput,containsStmt,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.2,hasNext,stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.3,"{""_layers"": [""stage1_ast""]}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.3,containsCall,call:0x0c6139206f995d160edb00422a5ac819bc94295e.depositInput.3.1,"{""_layers"": [""stage1_ast""]}"
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,hasFunction,function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositDai,"{""_layers"": [""stage1_ast""]}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.depositDai,hasModifier,modifier:0x0c6139206f995d160edb00422a5ac819bc94295e.depositDai.1,"{""_layers"": [""stage1_ast""]}"
