node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x0c6139206f995d160edb00422a5ac819bc94295e,Contract,0x0c6139206f995d160edb00422a5ac819bc94295e,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,,173,242,"{""_layers"": [""stage1_ast""], ""ast_id"": 672, ""src"": ""5620:3118:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""ChainBot3000""}"
statevar:0x0c6139206f995d160edb00422a5ac819bc94295e.DaiContract,StateVar,DaiContract,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,,177,177,"{""_layers"": [""stage1_ast""], ""ast_id"": 314, ""src"": ""5701:26:0"", ""type"": ""contract ERC20Interface"", ""visibility"": ""internal""}"
statevar:0x0c6139206f995d160edb00422a5ac819bc94295e.UniswapContract,StateVar,UniswapContract,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,,178,178,"{""_layers"": [""stage1_ast""], ""ast_id"": 316, ""src"": ""5733:32:0"", ""type"": ""contract UniswapInterface"", ""visibility"": ""internal""}"
statevar:0x0c6139206f995d160edb00422a5ac819bc94295e.deposits,StateVar,deposits,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,,185,185,"{""_layers"": [""stage1_ast""], ""ast_id"": 360, ""src"": ""6199:43:0"", ""type"": ""mapping(bytes32 => uint256)"", ""visibility"": ""public""}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor,Function,constructor,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,187,191,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 384, ""src"": ""6253:192:0"", ""kind"": ""constructor"", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ChainBot3000""}"
modifier:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1,Modifier,modifier_1,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,187,191,"{""_layers"": [""stage1_ast""], ""source"": ""function.modifiers""}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1,Stmt,stmt_1,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,188,188,"{""_layers"": [""stage1_ast""], ""ast_id"": 370, ""src"": ""6328:20:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.1.1,FunctionCall,initDai,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,188,188,"{""_layers"": [""stage1_ast""], ""ast_id"": 369, ""src"": ""6328:20:0""}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.2,Stmt,stmt_2,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,189,189,"{""_layers"": [""stage1_ast""], ""ast_id"": 374, ""src"": ""6358:28:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.2.1,FunctionCall,initUniswap,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,189,189,"{""_layers"": [""stage1_ast""], ""ast_id"": 373, ""src"": ""6358:28:0""}"
stmt:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3,Stmt,stmt_3,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,190,190,"{""_layers"": [""stage1_ast""], ""ast_id"": 382, ""src"": ""6396:42:0"", ""stmt_kind"": ""ExpressionStatement""}"
call:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3.1,FunctionCall,setAllowance,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,190,190,"{""_layers"": [""stage1_ast""], ""ast_id"": 381, ""src"": ""6396:42:0""}"
call:0x0c6139206f995d160edb00422a5ac819bc94295e.constructor.3.2,FunctionCall,call,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,constructor,190,190,"{""_layers"": [""stage1_ast""], ""ast_id"": 380, ""src"": ""6426:11:0""}"
function:0x0c6139206f995d160edb00422a5ac819bc94295e.initDai,Function,initDai,0x0c6139206f995d160edb00422a5ac819bc94295e.sol,0x0c6139206f995d160edb00422a5ac819bc94295e,initDai,193,195,"{""_layers"": [""stage1_ast"", ""stage4_control""], ""ast_id"": 398, ""src"": ""6455:107:0"", ""kind"": ""function"", ""visibility"": ""public"", ""stateMutability"": ""nonpayable"", ""implemented"": true, ""_conflict__kind"": [""declared_function_from_cfg""], ""actual_contract_name"": ""ChainBot3000""}"
