src,relation,dst,extra_json
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.None,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Available,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Canceled,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Buy,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Accept,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Reject,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Cancel,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Description,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Unlock,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Freeze,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Resolved,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.arbitrationPeriod,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.safeGas,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.seller,"{""_layers"": [""stage1_ast""]}"
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,hasStateVar,statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.contentCount,"{""_layers"": [""stage1_ast""]}"
