node_id,node_type,identifier,source_file,contract_name,function_name,line_start,line_end,extra_json
contract:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,Contract,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,14,465,"{""_layers"": [""stage1_ast""], ""ast_id"": 1174, ""src"": ""5353:12877:0"", ""contractKind"": ""contract"", ""original_contract_name"": ""EscrowGoods""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.None,StateVar,None,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,28,28,"{""_layers"": [""stage1_ast""], ""ast_id"": 19, ""src"": ""5605:33:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Available,StateVar,Available,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,29,29,"{""_layers"": [""stage1_ast""], ""ast_id"": 22, ""src"": ""5644:38:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Canceled,StateVar,Canceled,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,30,30,"{""_layers"": [""stage1_ast""], ""ast_id"": 25, ""src"": ""5688:37:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Buy,StateVar,Buy,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,33,33,"{""_layers"": [""stage1_ast""], ""ast_id"": 28, ""src"": ""5754:32:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Accept,StateVar,Accept,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,34,34,"{""_layers"": [""stage1_ast""], ""ast_id"": 31, ""src"": ""5792:35:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Reject,StateVar,Reject,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,35,35,"{""_layers"": [""stage1_ast""], ""ast_id"": 34, ""src"": ""5833:35:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Cancel,StateVar,Cancel,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,36,36,"{""_layers"": [""stage1_ast""], ""ast_id"": 37, ""src"": ""5874:35:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Description,StateVar,Description,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,37,37,"{""_layers"": [""stage1_ast""], ""ast_id"": 40, ""src"": ""5915:41:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Unlock,StateVar,Unlock,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,38,38,"{""_layers"": [""stage1_ast""], ""ast_id"": 43, ""src"": ""5962:36:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Freeze,StateVar,Freeze,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,39,39,"{""_layers"": [""stage1_ast""], ""ast_id"": 46, ""src"": ""6004:36:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
statevar:0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.Resolved,StateVar,Resolved,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7.sol,0x0ceae0bd68f89e41a1ed5dc20ca930c0c41856d7,,40,40,"{""_layers"": [""stage1_ast""], ""ast_id"": 49, ""src"": ""6046:38:0"", ""type"": ""uint16"", ""visibility"": ""internal""}"
