src,relation,dst,extra_json
contract:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,hasStateVar,statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.contractAddressRecord,"{""_layers"": [""stage1_ast""]}"
contract:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,hasStateVar,statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.walletAddressRecord,"{""_layers"": [""stage1_ast""]}"
contract:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,hasStateVar,statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.magnitude,"{""_layers"": [""stage1_ast""]}"
contract:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,hasStateVar,statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.dividendFee,"{""_layers"": [""stage1_ast""]}"
contract:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,hasStateVar,statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.balanceLedger,"{""_layers"": [""stage1_ast""]}"
contract:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,hasStateVar,statevar:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenLedger,"{""_layers"": [""stage1_ast""]}"
contract:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638,hasFunction,function:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard,"{""_layers"": [""stage1_ast""]}"
function:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard,containsStmt,stmt:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1,"{""_layers"": [""stage1_ast""]}"
function:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard,entryPointIs,stmt:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1,"{""_layers"": [""stage1_ast""]}"
stmt:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1,containsAssignment,assign:0x0e82b29a77a53880dd4ee8326cfea9b4c68db638.tokenOnboard.1.1,"{""_layers"": [""stage1_ast""]}"
